# {"t_start": 1539468831.6708305, "env_id": "CartPole-v0"} 
r,l,t
18.0,18,0.78194
15.0,15,0.798323
18.0,18,0.820944
28.0,28,0.852523
12.0,12,0.866974
15.0,15,0.881492
27.0,27,0.907936
37.0,37,0.940054
20.0,20,0.957527
22.0,22,0.979478
25.0,25,1.004844
23.0,23,1.024961
14.0,14,1.037338
10.0,10,1.04683
11.0,11,1.056457
9.0,9,1.065811
14.0,14,1.078983
43.0,43,1.118311
22.0,22,1.13676
24.0,24,1.160962
13.0,13,1.175008
13.0,13,1.189351
71.0,71,1.252005
31.0,31,1.280882
16.0,16,1.296873
23.0,23,1.315515
20.0,20,1.335524
18.0,18,1.352556
27.0,27,1.374017
17.0,17,1.390535
18.0,18,1.406107
9.0,9,1.414985
16.0,16,1.431359
29.0,29,1.467265
25.0,25,1.488761
39.0,39,1.52399
22.0,22,1.543439
29.0,29,1.570328
24.0,24,1.593694
81.0,81,1.670498
38.0,38,1.707503
18.0,18,1.723333
12.0,12,1.735739
18.0,18,1.750956
26.0,26,1.77806
10.0,10,1.789421
15.0,15,1.803371
24.0,24,1.828814
12.0,12,1.843915
19.0,19,1.85892
29.0,29,1.885016
50.0,50,1.93
23.0,23,1.955592
50.0,50,2.000133
20.0,20,2.016808
14.0,14,2.035767
20.0,20,2.053303
17.0,17,2.067065
13.0,13,2.080274
14.0,14,2.091441
19.0,19,2.10996
16.0,16,2.124979
31.0,31,2.152807
25.0,25,2.174836
13.0,13,2.187121
12.0,12,2.202317
28.0,28,2.228392
37.0,37,2.263933
16.0,16,2.279447
28.0,28,2.302469
11.0,11,2.315348
42.0,42,2.353866
23.0,23,2.379369
30.0,30,2.406555
17.0,17,2.431298
15.0,15,2.446045
11.0,11,2.455593
20.0,20,2.474613
23.0,23,2.495703
22.0,22,2.515522
13.0,13,2.528781
27.0,27,2.554043
16.0,16,2.567849
24.0,24,2.589745
9.0,9,2.59846
24.0,24,2.61859
33.0,33,2.645621
14.0,14,2.657629
25.0,25,2.683574
18.0,18,2.702511
13.0,13,2.715066
15.0,15,2.728563
10.0,10,2.738442
22.0,22,2.761204
13.0,13,2.773971
21.0,21,2.798037
33.0,33,2.82507
10.0,10,2.8353
22.0,22,2.856899
25.0,25,2.881137
45.0,45,2.920385
15.0,15,2.938997
20.0,20,2.95755
14.0,14,2.970424
12.0,12,2.983791
17.0,17,2.998676
14.0,14,3.010494
15.0,15,3.023706
38.0,38,3.059702
24.0,24,3.079012
15.0,15,3.094035
27.0,27,3.120363
37.0,37,3.157011
15.0,15,3.177862
33.0,33,3.216148
12.0,12,3.227581
15.0,15,3.241344
21.0,21,3.260435
16.0,16,3.276173
31.0,31,3.304969
13.0,13,3.31658
12.0,12,3.329835
35.0,35,3.35898
12.0,12,3.371873
40.0,40,3.408891
25.0,25,3.437214
43.0,43,3.47396
55.0,55,3.522829
32.0,32,3.550635
21.0,21,3.56855
14.0,14,3.581313
14.0,14,3.595778
25.0,25,3.617995
13.0,13,3.631634
24.0,24,3.654243
61.0,61,3.710901
16.0,16,3.72405
22.0,22,3.741898
15.0,15,3.76072
12.0,12,3.77451
27.0,27,3.797562
13.0,13,3.81004
37.0,37,3.848929
22.0,22,3.868571
15.0,15,3.882592
23.0,23,3.904454
25.0,25,3.932707
14.0,14,3.946519
21.0,21,3.966086
17.0,17,3.98175
17.0,17,3.998219
20.0,20,4.01537
18.0,18,4.031105
18.0,18,4.047939
16.0,16,4.062004
24.0,24,4.084041
18.0,18,4.101114
16.0,16,4.11751
17.0,17,4.133043
18.0,18,4.150286
14.0,14,4.164319
14.0,14,4.175776
67.0,67,4.239185
15.0,15,4.251639
12.0,12,4.26211
16.0,16,4.277612
12.0,12,4.288937
29.0,29,4.314339
12.0,12,4.324382
15.0,15,4.341548
20.0,20,4.359018
14.0,14,4.371002
29.0,29,4.397133
14.0,14,4.409396
13.0,13,4.424304
20.0,20,4.443223
22.0,22,4.462201
38.0,38,4.496974
19.0,19,4.514184
21.0,21,4.53245
12.0,12,4.543005
14.0,14,4.557571
17.0,17,4.577283
13.0,13,4.589122
