nupdates,policy_entropy,total_timesteps,explained_variance,fps,value_loss
1,0.6931461095809937,5,-0.10935306549072266,77,11.08166217803955
100,0.6931002736091614,500,0.06839507818222046,919,4.931150436401367
200,0.6931055188179016,1000,-0.04178273677825928,994,11.25373649597168
300,0.6928090453147888,1500,-0.0031605958938598633,1018,3.3059945106506348
400,0.6911108493804932,2000,-0.05401253700256348,1035,3.040461301803589
500,0.6827844977378845,2500,-0.15489482879638672,1046,11.171886444091797
600,0.692471444606781,3000,0.007018327713012695,1054,9.76594352722168
700,0.6881431937217712,3500,0.005362868309020996,1059,9.57156753540039
800,0.650052547454834,4000,0.1631946563720703,1065,9.624284744262695
900,0.6709620356559753,4500,-0.02348804473876953,1063,9.376062393188477
1000,0.6883527040481567,5000,0.0545157790184021,1065,102.61146545410156
1100,0.6384369730949402,5500,0.23010653257369995,1064,4.246800899505615
1200,0.6832443475723267,6000,0.01674187183380127,1063,5.816365718841553
1300,0.6459952592849731,6500,-0.008150458335876465,1064,5.788066864013672
1400,0.6810203790664673,7000,0.1636989712715149,1066,3.5819873809814453
1500,0.6864802837371826,7500,0.006128787994384766,1067,4.576187610626221
1600,0.6008722186088562,8000,0.04377394914627075,1068,4.491583824157715
1700,0.6918520927429199,8500,0.05416512489318848,1069,4.328953266143799
1800,0.68948894739151,9000,-0.049717068672180176,1070,3.948572874069214
1900,0.6794266104698181,9500,0.03604620695114136,1069,3.695732593536377
2000,0.690771222114563,10000,0.42800724506378174,1069,1643.3206787109375
2100,0.6700164675712585,10500,-0.07631504535675049,1071,3.175076723098755
2200,0.6929097175598145,11000,-0.0747060775756836,1071,3.0711874961853027
2300,0.6916357278823853,11500,0.525844544172287,1071,2.183664560317993
2400,0.6762365102767944,12000,0.4964349865913391,1073,1.9207090139389038
2500,0.6818100810050964,12500,0.006349623203277588,1074,2273.79833984375
2600,0.6903138160705566,13000,-0.3019143342971802,1071,2.3259804248809814
2700,0.6398199200630188,13500,0.038416147232055664,1066,1.7088778018951416
2800,0.6858342289924622,14000,0.7302876710891724,1066,1.0029041767120361
2900,0.6923597455024719,14500,-0.017975568771362305,1067,1.201738953590393
3000,0.6926146745681763,15000,0.004361152648925781,1065,3205.20068359375
3100,0.6914857625961304,15500,0.15143823623657227,1066,0.6149893403053284
3200,0.6871926784515381,16000,0.2555752396583557,1067,1.0241210460662842
3300,0.6918247938156128,16500,-0.8063817024230957,1067,1.1905710697174072
3400,0.6695100665092468,17000,0.023363351821899414,1068,3009.93701171875
3500,0.6720779538154602,17500,0.14749681949615479,1068,0.7359343767166138
3600,0.6887290477752686,18000,-0.033553481101989746,1069,0.7958799600601196
3700,0.6518219709396362,18500,-0.36992502212524414,1069,0.7709161043167114
3800,0.692068338394165,19000,0.040312886238098145,1070,0.08688868582248688
3900,0.6701485514640808,19500,0.11556482315063477,1071,0.05483851954340935
4000,0.6185619235038757,20000,0.035349249839782715,1072,5285.71142578125
4100,0.6811822056770325,20500,-3.3668994903564453,1072,0.36380845308303833
4200,0.5501927137374878,21000,-89.67938995361328,1072,5.675468444824219
4300,0.6927326917648315,21500,-0.512220025062561,1072,0.1655353456735611
4400,0.667082667350769,22000,-14.258893966674805,1073,0.2871207296848297
4500,0.6879692673683167,22500,-0.2004162073135376,1073,0.014107873663306236
4600,0.6891912817955017,23000,-3.4850730895996094,1073,0.06925630569458008
4700,0.6850813031196594,23500,-5.348048686981201,1073,0.5478565692901611
4800,0.47263607382774353,24000,-2.9406628608703613,1074,0.09126466512680054
4900,0.6732168197631836,24500,-13.899335861206055,1074,0.13839389383792877
5000,0.6423311233520508,25000,-52.554176330566406,1075,0.1645703762769699
5100,0.645957350730896,25500,-37.933841705322266,1075,0.11033151298761368
5200,0.6341137290000916,26000,-94.35114288330078,1076,0.10128464549779892
5300,0.5968271493911743,26500,-112.78666687011719,1077,0.2046649008989334
5400,0.6048983335494995,27000,-17.43654441833496,1077,0.015866560861468315
