EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
271.6666666666667,-109.287704,15,15,5.256054878234863,4075,0.0,5.6756997,0.0019044876098632812,7.3506526e-06,0.00075374055,0.00075374055
389.4736842105263,-110.775696,4,19,10.192380666732788,7400,0.0,5.676271,-0.010227680206298828,8.627307e-06,0.00082150265,0.00082150265
450.0833333333333,-110.43628,5,24,15.212882280349731,10802,0.0,5.6763544,-0.0020508766174316406,7.5178614e-06,0.00071701617,0.00071701617
543.9655172413793,-110.46651,5,29,20.18591809272766,15775,0.0,5.67629,-0.010533690452575684,8.745803e-06,0.0009326499,0.0009326499
505.94871794871796,-110.14856,10,39,25.206576824188232,19732,0.0,5.675944,0.0005171895027160645,8.1077305e-06,0.0007213889,0.0007213889
534.175,-111.18577,6,45,30.22635841369629,23242,0.0,5.6755424,-0.00011587142944335938,8.887961e-06,0.0007155626,0.0007155626
610.45,-110.6226,8,53,35.305708169937134,28339,0.0,5.6752977,-0.00012302398681640625,8.096853e-06,0.0008012961,0.0008012961
648.95,-109.938965,3,56,40.34247970581055,31633,0.0,5.6754675,0.00011533498764038086,8.490984e-06,0.00067550514,0.00067550514
650.55,-109.45296,7,63,45.462366580963135,36757,0.0,5.6752124,0.00013083219528198242,8.243238e-06,0.00079956325,0.00079956325
574.55,-110.13916,7,70,50.54882788658142,40357,0.0,5.675276,0.00026100873947143555,8.379066e-06,0.00075157935,0.00075157935
441.775,-112.22101,17,87,55.788954973220825,44113,0.0,5.674581,0.00011414289474487305,7.88844e-06,0.0006655816,0.0006655816
480.575,-112.5435,6,93,60.902047872543335,47562,0.0,5.674311,-3.5762786865234375e-05,8.665083e-06,0.00079090626,0.00079090626
328.05,-113.41295,12,105,66.07108235359192,53079,0.0,5.674562,2.2709369659423828e-05,7.651513e-06,0.00080256804,0.00080256804
368.475,-111.791,7,112,71.16425800323486,56762,0.0,5.6749644,0.00010186433792114258,8.165589e-06,0.00072021974,0.00072021974
412.325,-112.01323,9,121,76.28170418739319,60185,0.0,5.675517,5.21540641784668e-05,8.982985e-06,0.0007226309,0.0007226309
528.7,-113.08407,4,125,81.33039784431458,65122,0.0,5.674544,2.9921531677246094e-05,8.209972e-06,0.00075313804,0.00075313804
567.825,-115.459206,4,129,86.44189524650574,68497,0.0,5.674334,6.288290023803711e-05,9.022289e-06,0.0006293723,0.0006293723
