EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
93.45,-172.4094,44,44,3.9175491333007812,4082,0.0,1.3803256,0.0020537972450256348,0.0061210273,0.01478567,0.01478567
95.7,-132.81033,43,87,7.69983696937561,8164,0.0,1.3690404,-0.005316734313964844,0.007744833,0.015746877,0.015746877
92.575,-104.56453,44,131,11.502439022064209,12258,0.0,1.3561887,-0.0017871856689453125,0.007523722,0.013074782,0.013074782
94.025,-101.112206,43,174,15.29534125328064,16353,0.0,1.35059,-0.00019121170043945312,0.0073879343,0.012352461,0.012352461
98.175,-94.29298,42,216,19.088245153427124,20448,0.0,1.3381512,-0.0008614063262939453,0.0072907186,0.017017461,0.017017461
102.325,-97.23777,40,256,22.929489135742188,24541,0.0,1.3202429,9.131431579589844e-05,0.007846912,0.014822591,0.014822591
107.675,-75.96009,38,294,26.794784784317017,28667,0.0,1.3115283,-0.0029473304748535156,0.0076242704,0.014562663,0.014562663
110.65,-76.43379,37,331,30.6655330657959,32686,0.0,1.2788291,-0.0014835596084594727,0.008721148,0.01840223,0.01840223
109.4,-61.519276,38,369,34.55489110946655,36813,0.0,1.2737262,-0.0024358034133911133,0.0075771725,0.013853432,0.013853432
106.825,-53.85012,38,407,38.441190242767334,40898,0.0,1.2489967,-0.0025113821029663086,0.006714737,0.012681205,0.012681205
110.75,-50.652348,37,444,42.33809185028076,45031,0.0,1.2443973,-0.0011334419250488281,0.007476588,0.010377126,0.010377126
122.5,-50.037544,33,477,46.29534363746643,49134,0.0,1.2201471,-0.0025479793548583984,0.006003821,0.011057558,0.011057558
121.775,-43.422695,33,510,50.27046990394592,53090,0.0,1.2021552,-0.0009826421737670898,0.0067748777,0.0134124,0.0134124
115.0,-40.022137,36,546,54.199299335479736,57249,0.0,1.1774282,-0.0018998384475708008,0.008287765,0.012737619,0.012737619
126.075,-33.669163,33,579,58.14631247520447,61326,0.0,1.153588,-0.0011538267135620117,0.0070991665,0.013724076,0.013724076
150.2,-20.416052,25,604,62.87126612663269,65423,0.0,1.0796967,0.0014917254447937012,0.008370765,0.010709224,0.010709224
181.1,-11.701555,23,627,68.25219106674194,69630,0.0,1.0535005,-0.046740055084228516,0.00864488,0.0115658175,0.0115658175
183.9,-8.305714,19,646,74.61836314201355,73040,0.0,1.0391831,-0.00015044212341308594,0.0068951882,0.008816559,0.008816559
208.8,-5.9808526,19,665,80.39647269248962,77771,0.0,1.0022669,-0.0011452436447143555,0.008175145,0.009741548,0.009741548
224.0,-12.042419,20,685,85.26160383224487,81884,0.0,1.0213151,0.002172112464904785,0.0077867447,0.009365523,0.009365523
203.35,-25.94782,19,704,90.35760450363159,85791,0.0,0.99318016,0.024421095848083496,0.006924355,0.01461833,0.01461833
224.325,-20.542469,16,720,96.42904543876648,90011,0.0,0.894555,0.07067221403121948,0.00765586,0.0080044735,0.0080044735
200.4,-5.920249,22,742,101.44694662094116,93457,0.0,1.0455703,0.30361515283584595,0.007704833,0.010549277,0.010549277
188.875,-5.705026,18,760,107.26868486404419,97566,0.0,0.9915382,0.31896358728408813,0.008045876,0.011668261,0.011668261
230.4,-0.6767292,15,775,113.61873197555542,101564,0.0,0.9666755,0.29317110776901245,0.008644125,0.012595737,0.012595737
288.425,-17.273174,11,786,120.3971655368805,106455,0.0,0.99391234,0.25369584560394287,0.008259246,0.014594162,0.014594162
342.35,-17.943346,9,795,126.66981339454651,110017,0.0,0.92508185,0.3241482377052307,0.00825245,0.01673938,0.01673938
338.75,-19.160769,17,812,132.63781905174255,114612,0.0,0.8999411,0.3386099338531494,0.008479156,0.011517508,0.011517508
328.75,4.916471,11,823,139.92920422554016,118748,0.0,0.9580338,0.3473808169364929,0.007274661,0.010492354,0.010492354
310.125,8.000853,12,835,146.92149925231934,122422,0.0,0.97083795,0.22721093893051147,0.008208772,0.012571933,0.012571933
326.65,-4.887731,10,845,154.09833908081055,126286,0.0,0.97295916,0.215282142162323,0.00773085,0.010135246,0.010135246
343.7,-2.7785506,13,858,161.06709241867065,131066,0.0,0.89498353,0.4089311361312866,0.007354426,0.009159844,0.009159844
366.325,-7.4835334,8,866,168.57556080818176,134700,0.0,0.9521799,0.3452145457267761,0.008954933,0.01045111,0.01045111
411.875,-3.348024,5,871,176.12843370437622,138276,0.0,0.96269286,0.5522190928459167,0.0075818603,0.010309706,0.010309706
461.075,11.97464,9,880,183.19613480567932,142848,0.0,0.9089358,0.4229556918144226,0.008509353,0.012633756,0.012633756
495.375,24.919104,6,886,190.49455666542053,147101,0.0,0.9941174,0.2757111191749573,0.008541264,0.016774919,0.016774919
518.55,19.25893,10,896,197.64438438415527,151481,0.0,0.95044065,0.21490436792373657,0.009590797,0.0127299065,0.0127299065
592.75,21.856598,4,900,205.97527384757996,155175,0.0,0.9344847,0.5957981050014496,0.008329176,0.02274216,0.02274216
586.025,32.169525,8,908,213.6802921295166,159611,0.0,0.89819527,0.23869848251342773,0.008615092,0.012676567,0.012676567
599.1,27.039438,5,913,222.0469241142273,163353,0.0,1.0358002,0.43708568811416626,0.00753601,0.012482356,0.012482356
643.95,29.72195,6,919,230.4473831653595,167606,0.0,1.0428039,0.6526478826999664,0.0067967516,0.011952748,0.011952748
613.9,12.460266,7,926,238.64460563659668,171657,0.0,0.9308749,0.3463612198829651,0.008791445,0.012892231,0.012892231
612.825,14.646042,7,933,246.60855197906494,175382,0.0,0.9540458,0.4985623359680176,0.008278252,0.014384472,0.014384472
605.7,19.749155,8,941,255.14635014533997,180212,0.0,1.0072478,0.5524413585662842,0.0072446736,0.012418348,0.012418348
556.05,21.440695,9,950,262.32778882980347,183853,0.0,1.0303657,0.5410673022270203,0.0078235,0.014988653,0.014988653
379.025,26.580124,17,967,268.4067370891571,187818,0.0,0.96301293,0.4855114817619324,0.007875517,0.010111285,0.010111285
396.35,29.757376,8,975,275.68796610832214,192368,0.0,1.0303319,0.5244224369525909,0.009018748,0.014805471,0.014805471
307.275,21.975306,13,988,282.48858642578125,195931,0.0,0.97275364,0.4892886281013489,0.007848614,0.017179836,0.017179836
374.45,29.845957,6,994,290.47340059280396,200218,0.0,0.9039419,0.3968738317489624,0.0076187374,0.009276711,0.009276711
459.675,36.523224,5,999,299.1871566772461,204384,0.0,1.005651,0.609033852815628,0.008550492,0.019478718,0.019478718
456.15,39.80541,13,1012,306.2895886898041,208488,0.0,0.94563866,0.23910796642303467,0.007976215,0.012417033,0.012417033
478.075,37.538136,7,1019,314.25370502471924,212825,0.0,1.0187228,0.4684714674949646,0.008022449,0.015749555,0.015749555
529.45,36.84617,7,1026,322.39005637168884,216548,0.0,0.97133416,0.5584378242492676,0.0079310965,0.0123825595,0.0123825595
555.575,34.538292,6,1032,330.8233859539032,220441,0.0,0.97595584,0.46531081199645996,0.007329797,0.012340153,0.012340153
488.85,28.279388,8,1040,338.4709470272064,224938,0.0,0.98697656,0.5243855118751526,0.008416622,0.015809894,0.015809894
537.275,26.724878,6,1046,345.6220917701721,228456,0.0,0.95807445,0.23154860734939575,0.008238908,0.009427993,0.009427993
458.925,3.9334633,17,1063,352.0325481891632,233409,0.0,0.8551611,0.2897961139678955,0.007427955,0.0075805066,0.0075805066
473.7,7.779476,5,1068,360.3934414386749,237496,0.0,0.9731495,0.34581899642944336,0.008678481,0.017695166,0.017695166
459.475,13.92157,7,1075,367.4658043384552,240922,0.0,0.92748535,0.48306703567504883,0.007645588,0.012052776,0.012052776
364.35,14.967114,14,1089,373.6965489387512,245133,0.0,0.8743677,0.4500429630279541,0.0085478565,0.0138319805,0.0138319805
420.575,22.67316,6,1095,381.17366552352905,248931,0.0,0.9471475,0.468530535697937,0.007843582,0.011081442,0.011081442
498.15,42.436794,7,1102,389.20696926116943,253240,0.0,0.9672501,0.6636634469032288,0.007499651,0.01382795,0.01382795
478.325,43.51465,8,1110,397.54729104042053,257730,0.0,0.98424256,0.5279987752437592,0.006758066,0.019829448,0.019829448
489.15,35.53634,6,1116,405.73863220214844,261488,0.0,0.9447895,0.4682955741882324,0.00869825,0.016020928,0.016020928
