# {"t_start": 1541100844.3280404, "env_id": "LunarLander-v2"} 
r,l,t
-261.652463,87,1.387207
-91.702578,83,1.454418
-70.419339,77,1.515067
-142.314113,97,1.592021
-79.937121,120,1.688365
-416.320866,89,1.759917
-153.55333,92,1.833401
-145.858331,94,1.909066
-115.303566,69,1.963137
-317.957172,91,2.034829
-180.58115,74,2.093625
-45.331384,74,2.153522
-96.396794,69,2.207417
-159.968946,83,2.273518
-229.205124,80,2.336459
-96.329426,77,2.397941
-190.70456,103,2.48188
-116.815947,108,2.568679
-136.058214,86,2.638926
-151.497758,111,2.728857
-116.795493,135,2.839831
-79.94549,83,2.9065
-160.118772,115,3.00003
-147.309273,111,3.090474
-214.357492,110,3.181094
-151.853946,115,3.27405
-369.321703,74,3.332615
-82.974021,59,3.378874
-217.222995,62,3.427034
-291.207418,84,3.493843
-338.476454,94,3.569051
-138.922693,128,3.674373
-0.17299,123,3.773588
-111.208867,90,3.845642
-123.745672,117,3.942302
-231.112117,131,4.05212
-150.220625,79,4.115181
-203.490049,63,4.165873
-274.948499,98,4.246657
-190.674811,81,4.311867
-245.00401,94,4.388351
-303.388022,125,4.492012
-62.217104,76,4.552923
-59.868072,71,4.610582
-50.656215,64,5.192054
-87.808987,65,5.244115
-96.934075,83,5.309157
-14.656242,105,5.394321
27.680966,123,5.49733
-371.572162,135,5.609016
-435.515056,96,5.68592
-74.297228,63,5.736371
-63.645291,67,5.789618
-164.44765,94,5.86428
-119.643332,78,5.928488
-116.888351,103,6.011443
-213.002843,90,6.082643
-314.047441,98,6.162167
-284.335408,104,6.245342
-293.365736,80,6.308914
-150.808033,69,6.364387
-201.309132,84,6.431387
-226.735536,92,6.504292
-282.151082,112,6.595186
-224.833266,87,6.666038
-193.309474,76,6.728307
-195.147484,100,6.810078
-150.367785,84,6.878318
-133.652145,91,6.952039
-69.157684,61,7.000372
-171.245175,94,7.07556
-84.278734,81,7.139985
-117.176842,83,7.206969
-203.334806,121,7.308368
-157.726067,113,7.403054
-286.683143,119,7.501155
-95.647104,76,7.561613
-232.388802,109,7.648223
-187.31618,85,7.716236
-282.934119,74,7.774977
-284.966771,85,7.844706
-111.804026,75,7.904158
-119.247898,156,8.036931
18.226593,79,8.099434
-116.976204,108,8.187159
27.726771,115,8.280907
-419.324725,88,8.351714
-380.394323,95,8.428307
-235.275567,105,8.92354
7.90968,65,8.975207
-147.617203,69,9.030619
-139.931773,96,9.108719
-193.783221,81,9.171638
-193.585212,110,9.260994
-120.775147,100,9.341915
-311.770819,117,9.437622
-107.540519,58,9.482456
-294.233417,134,9.593969
-184.485818,72,9.652547
-146.714702,115,9.746631
-116.879166,75,9.80688
-196.887716,107,9.893087
-361.048795,97,9.970191
-289.515786,99,10.050468
-335.935962,96,10.128162
-187.809966,126,10.231736
-101.674716,106,10.319242
-295.687807,94,10.395221
-50.382087,58,10.441304
-131.276043,92,10.515211
-343.527093,144,10.638163
-96.910454,70,10.694298
-194.197174,82,10.759524
-103.025241,57,10.803624
-164.443003,89,10.875732
-141.470479,94,10.951535
-114.176076,135,11.064575
-231.68128,89,11.136493
-187.640612,98,11.216374
-84.649293,67,11.269665
-110.189026,80,11.331641
-372.078355,70,11.387474
-222.530194,105,11.471233
-210.732298,133,11.581766
-228.788084,112,11.673691
-313.347647,84,11.742781
-66.641964,68,11.796556
-155.717409,90,11.871013
-149.361959,102,11.952122
-119.483365,71,12.008684
-329.064687,123,12.110276
-87.54325,83,12.176161
-181.384967,125,12.7039
-252.652343,103,12.785803
-262.237638,125,12.889281
-103.351861,138,13.003448
-144.486514,105,13.088292
-292.834146,83,13.154779
-121.841873,68,13.209387
-302.254558,88,13.279573
-98.114993,124,13.383778
-144.584287,115,13.476105
-107.000728,90,13.547433
-363.497892,120,13.645119
-126.789761,101,13.72742
-86.680448,75,13.787779
-279.059534,86,13.857796
-317.868514,105,13.943267
-233.153336,92,14.017296
-93.794444,64,14.068734
-127.574532,104,14.154054
-125.348799,88,14.224737
-111.063173,64,14.274942
-476.059118,101,14.355534
-120.35513,93,14.431432
-325.940057,93,14.505467
-63.385943,62,14.554012
-101.94516,74,14.613555
-167.860473,78,14.677321
-111.899082,90,14.749208
-67.080733,109,14.839333
-294.834867,101,14.920245
-106.258888,131,15.027496
-136.901681,76,15.088913
-97.321025,87,15.159292
-163.304892,61,15.206856
-135.55864,99,15.286473
-90.112763,73,15.344071
-413.250969,107,15.430466
-116.50789,77,15.491529
-203.467948,85,15.55933
-326.019591,96,15.637179
-204.191187,76,15.698348
-205.454107,112,15.789568
-167.737433,77,15.851122
-184.374289,83,15.917286
-197.493734,108,16.416436
-80.613505,64,16.466553
-256.036227,112,16.558723
-394.516571,97,16.638222
-139.194443,106,16.72396
-136.567255,85,16.792036
-112.03439,97,16.868893
-82.197244,108,16.95715
-127.146721,114,17.050921
-113.736174,102,17.133404
-89.031031,81,17.199312
-111.176078,60,17.24587
-273.303924,104,17.331794
-101.525672,64,17.38251
-114.991363,123,17.483181
-113.34575,104,17.566641
-97.352484,69,17.621049
-124.32393,79,17.68458
-222.548426,150,17.812181
-50.560506,63,17.862278
-336.578644,104,17.947183
-61.252864,78,18.011987
-202.332604,135,18.123971
-95.95119,80,18.187193
-230.74612,107,18.274992
-354.625915,100,18.355688
-155.164736,127,18.461249
-118.741858,90,18.533138
-167.672746,70,18.590377
-119.462302,96,18.667048
-338.436355,110,18.757603
-98.391786,79,18.821648
-166.794387,82,18.88891
-165.616314,113,18.981992
-336.762532,77,19.043661
-160.189636,111,19.131641
-146.621746,78,19.193947
-289.819786,76,19.256006
-106.492535,96,19.330962
-321.045575,97,19.409518
-231.886091,123,19.510171
-108.501223,77,19.57102
-114.093767,136,20.095903
-166.467503,77,20.157279
-379.773035,95,20.235386
-417.02734,121,20.337487
-138.836166,97,20.415217
-126.221512,130,20.523991
-321.661428,107,20.612044
-331.136426,94,20.688329
-117.226981,74,20.747698
-92.90216,87,20.816228
-164.348138,124,20.917236
-200.179573,73,20.975934
-257.546185,143,21.09835
-337.406663,99,21.179485
-106.680573,96,21.256247
-124.491272,84,21.323119
-83.296279,75,21.382974
