# {"env_id": "LunarLander-v2", "t_start": 1541100897.7366796} 
r,l,t
-261.652463,87,1.456256
-91.702578,83,1.524072
-70.419339,77,1.585083
-142.314113,97,1.662173
-79.937121,120,1.75869
-416.320866,89,1.83041
-153.55333,92,1.903917
-145.858331,94,1.979451
-115.303566,69,2.033532
-317.957172,91,2.105399
-180.58115,74,2.164314
-45.331384,74,2.224363
-96.396794,69,2.278465
-159.968946,83,2.344726
-229.205124,80,2.40779
-96.329426,77,2.469413
-190.70456,103,2.553442
-116.815947,108,2.640506
-136.058214,86,2.710951
-151.497758,111,2.801074
-116.795493,135,2.912458
-79.94549,83,2.979495
-160.118772,115,3.073507
-147.309273,111,3.164371
-214.357492,110,3.255522
-151.853946,115,3.349016
-369.321703,74,3.408009
-82.974021,59,3.454525
-217.222995,62,3.503049
-291.207418,84,3.570149
-338.476454,94,3.645533
-138.922693,128,3.751152
-0.17299,123,3.850685
-111.208867,90,3.922936
-123.745672,117,4.019587
-231.112117,131,4.129654
-150.220625,79,4.192842
-203.490049,63,4.243625
-274.948499,98,4.324441
-190.674811,81,4.389864
-245.00401,94,4.46637
-303.388022,125,4.570234
-62.217104,76,4.631253
-59.868072,71,4.689004
-50.656215,64,5.305307
-87.808987,65,5.357925
-96.934075,83,5.42361
-147.70074,99,5.503626
-163.116752,97,5.58204
-126.297997,102,5.665876
-354.025149,102,5.749268
-192.272902,72,5.808017
-121.266061,84,5.876408
-115.389657,77,5.937863
6.973268,124,6.040545
-173.40499,93,6.115547
-186.431641,102,6.197412
-130.76195,114,6.290134
-140.178288,68,6.343969
-234.180182,103,6.426292
-122.227525,122,6.526715
-93.396918,60,6.573832
-196.162207,64,6.62489
-102.553465,61,6.673867
-84.71701,76,6.733152
-308.208361,96,6.81165
-323.617253,104,6.905071
-354.431801,113,6.997534
-327.939671,80,7.062987
-236.459674,115,7.156637
-108.374574,79,7.219969
-104.533028,144,7.341558
-318.746545,78,7.406192
-349.807606,81,7.471814
-258.542754,111,7.566206
-384.698556,107,7.653176
-84.967914,63,7.703658
-103.087359,79,7.766433
-150.420244,110,7.855615
-173.831191,99,7.935791
-129.324132,117,8.03314
-167.405111,113,8.126772
-199.397997,71,8.184199
-81.758045,59,8.230309
-152.503676,81,8.29504
-87.903552,78,8.357886
-202.061276,97,8.436485
-106.016797,84,8.504249
-120.689326,94,8.580568
-112.700461,61,9.048721
-62.247519,66,9.101779
-238.593061,77,9.164727
-254.390022,69,9.22015
-148.419858,60,9.268698
-175.865911,107,9.356229
-80.793657,83,9.424299
-143.062816,74,9.483898
-95.460689,63,9.534291
-132.920934,89,9.607174
-203.194566,103,9.691221
-68.636257,114,9.787002
-132.245905,112,9.881085
-231.345906,88,9.954812
-193.488776,118,10.052319
-299.012571,89,10.12503
-116.236943,87,10.196995
-90.237195,61,10.245422
-186.022315,94,10.323245
-115.82845,86,10.393928
-60.30046,70,10.452751
-114.386081,108,10.543687
-108.603738,93,10.619954
-263.902388,79,10.685318
-260.892328,129,10.794681
-180.090784,92,10.873481
-121.776458,69,10.928848
-116.511592,77,10.990429
-121.430079,66,11.045516
-98.775345,75,11.10735
-116.487162,111,11.200056
-147.792569,92,11.276276
-137.426257,131,11.386117
-193.491321,108,11.47541
-267.219514,109,11.566441
-135.597986,84,11.635242
-184.608306,73,11.695798
-73.699041,71,11.754555
-215.658975,102,11.841308
-93.047553,66,11.894865
-209.70472,117,11.994303
-331.790628,76,12.058277
-146.659738,105,12.145915
-260.354357,93,12.223596
-261.338745,93,12.301694
-87.600625,129,12.411084
-150.13331,96,12.926726
-96.49016,62,12.977434
-131.433221,57,13.022566
-125.377884,100,13.106577
-73.042268,61,13.156932
-160.219819,79,13.221382
-11.871319,111,13.316957
-111.050963,71,13.375385
-189.80523,68,13.431633
-131.333793,95,13.511407
-108.875697,126,13.619143
-215.445948,108,13.710145
-91.368322,79,13.773322
-203.025926,89,13.844593
-220.324315,83,13.911353
-121.987088,70,13.968415
-94.647279,108,14.057111
-173.429583,73,14.116152
-114.172211,71,14.172364
-77.911897,60,14.219863
-124.421593,111,14.312012
-200.222256,130,14.423177
-180.865218,126,14.527895
-156.814172,104,14.612209
-96.037495,89,14.684014
-281.793657,98,14.761851
-103.644577,79,14.8246
-242.845504,74,14.884598
-115.901339,105,14.971089
-324.287105,101,15.053241
-101.07037,74,15.113404
-120.06473,101,15.195052
-139.038423,76,15.257191
-193.111578,106,15.344426
-113.029612,90,15.416698
-127.030456,100,15.496983
-162.509184,107,15.582901
-377.531498,107,15.669987
-125.923533,94,15.744837
-64.95405,69,15.799557
-77.272771,99,15.879496
-412.939203,113,15.972996
-132.559778,108,16.060257
25.194791,77,16.122127
-89.065083,69,16.177405
-84.970493,75,16.652908
-146.763086,77,16.714206
-174.196012,58,16.760201
-110.930704,92,16.834533
-85.396914,70,16.891367
-172.487946,71,16.94875
-254.985697,99,17.027817
-195.42338,93,17.102274
-109.59111,61,17.149202
-86.804688,91,17.223508
-159.795688,81,17.289214
-175.465304,91,17.362842
-95.181682,118,17.46014
-231.274447,114,17.552732
-188.267329,93,17.629182
-126.226416,62,17.67848
-111.233938,105,17.763125
-485.306125,101,17.848138
-90.314237,72,17.90534
-336.684226,101,17.988473
-193.181112,100,18.072246
-145.407731,85,18.140216
-142.015224,79,18.203001
-71.465927,68,18.259114
-158.059403,137,18.375131
-136.12973,96,18.452388
-238.267415,83,18.519859
-129.393588,72,18.576939
-104.875327,107,18.664783
-112.417945,104,18.750072
-130.745282,135,18.86237
-102.086908,109,18.950531
-166.16611,72,19.008437
-112.571033,71,19.066077
-120.883906,82,19.133135
-168.247718,104,19.217628
-86.941293,77,19.278748
-115.027021,65,19.329896
-16.437587,59,19.375858
-112.585939,95,19.452214
-33.246456,135,19.566087
-107.360064,87,19.635354
-228.565019,126,19.740353
-87.645969,85,19.808199
-79.415878,66,19.861783
-132.422542,93,19.936465
-80.921373,70,20.416713
-128.806861,78,20.481768
-76.747965,116,20.583772
-92.679922,87,20.654991
-170.740748,110,20.744974
-405.872948,123,20.848347
-79.877598,98,20.92848
-215.010096,100,21.010564
-104.732832,70,21.066363
-91.334998,70,21.121695
-294.69051,115,21.216211
-124.901379,67,21.270554
-89.485466,73,21.330135
-143.540318,79,21.394211
-276.764915,83,21.461435
-229.568378,129,21.568208
-59.174755,122,21.671009
-93.345,66,21.723812
-192.075656,82,21.789027
-155.749013,154,21.929284
-182.991075,101,22.012488
-355.639267,86,22.085032
-128.153008,94,22.163067
-137.742285,97,22.242562
-5.530269,102,22.328915
-94.628135,114,22.423608
-159.429916,103,22.510879
-326.784085,92,22.587622
-166.73402,61,22.638537
-171.49268,74,22.699209
-92.788608,77,22.761233
-188.881898,137,22.877491
-212.487273,92,22.954267
16.858375,95,23.034787
54.630165,78,23.099322
-98.881966,64,23.152052
