EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
93.45,-172.4094,44,44,3.954986810684204,4082,0.0,1.3860111,0.008736073970794678,0.00030069117,0.004451336,0.004451336
94.575,-175.85497,44,88,7.762905836105347,8175,0.0,1.3856997,-0.007675051689147949,0.00032856796,0.0048360373,0.0048360373
89.05,-175.50162,45,133,11.565481662750244,12234,0.0,1.3847309,-0.0054972171783447266,0.00038724637,0.004255755,0.004255755
90.1,-142.33716,46,179,15.42576289176941,16369,0.0,1.3837935,-0.008173704147338867,0.0003731272,0.0052108993,0.0052108993
91.15,-155.5131,44,223,19.225361347198486,20395,0.0,1.381472,-0.0025986433029174805,0.00043566784,0.0050033387,0.0050033387
85.325,-138.79428,48,271,23.089215993881226,24568,0.0,1.3801241,-0.01600658893585205,0.00039045635,0.005609886,0.005609886
95.875,-139.60834,43,314,26.985392808914185,28626,0.0,1.3799143,-0.011108040809631348,0.00038120037,0.0053138044,0.0053138044
94.8,-139.66093,43,357,30.88783288002014,32734,0.0,1.376419,-0.00697779655456543,0.0003863424,0.005825682,0.005825682
93.9,-120.252785,43,400,34.73526978492737,36836,0.0,1.3755019,-0.004321694374084473,0.0003884256,0.0049019484,0.0049019484
102.275,-131.00398,40,440,38.5860915184021,40927,0.0,1.3713424,-0.004293680191040039,0.00038258225,0.0034670688,0.0034670688
90.3,-109.96785,45,485,42.388997077941895,45034,0.0,1.3711617,-0.009288191795349121,0.00032040128,0.00550179,0.00550179
96.325,-111.10565,42,527,46.244423151016235,49106,0.0,1.3697547,-0.006724715232849121,0.00034475245,0.007118323,0.007118323
92.575,-100.80337,43,570,50.05111384391785,53122,0.0,1.367347,-8.26120376586914e-05,0.00036605337,0.004087365,0.004087365
95.35,-95.38507,44,614,53.8566734790802,57325,0.0,1.3641784,-0.0005441904067993164,0.0004029238,0.004854693,0.004854693
94.85,-94.55124,42,656,57.68010354042053,61372,0.0,1.3588166,-0.0006498098373413086,0.000416073,0.0044157878,0.0044157878
95.375,-94.17025,44,700,61.49413847923279,65514,0.0,1.3586068,-0.0001938343048095703,0.00035361413,0.0044826344,0.0044826344
98.825,-104.74805,41,741,65.32950496673584,69540,0.0,1.3475487,-0.0029114484786987305,0.00037362828,0.0065462147,0.0065462147
96.625,-88.868546,43,784,69.20296049118042,73690,0.0,1.3460746,-0.00013303756713867188,0.00044928124,0.004154647,0.004154647
105.4,-91.06357,39,823,73.08023405075073,77790,0.0,1.3464725,-0.00012564659118652344,0.0004393977,0.005604388,0.005604388
97.575,-75.58038,42,865,76.9521005153656,81901,0.0,1.3419002,-0.0004215240478515625,0.00040888012,0.004793524,0.004793524
97.375,-74.475975,42,907,80.78877258300781,85979,0.0,1.3405248,-7.843971252441406e-05,0.00041210835,0.004585321,0.004585321
99.95,-73.000885,41,948,84.62526249885559,90059,0.0,1.3289237,-0.00027763843536376953,0.00041188538,0.00603378,0.00603378
104.425,-68.75179,39,987,88.49497723579407,94117,0.0,1.3308731,-8.33272933959961e-05,0.0004090265,0.0053859632,0.0053859632
102.325,-71.54987,40,1027,92.33069682121277,98210,0.0,1.3246998,-6.961822509765625e-05,0.00038169906,0.006732892,0.006732892
107.025,-68.34409,38,1065,96.20541834831238,102304,0.0,1.3223565,-0.00013506412506103516,0.0003727391,0.0050478876,0.0050478876
