# {"t_start": 1539261837.1660576, "env_id": "CartPole-v0"} 
r,l,t
29.0,29,0.938336
15.0,15,0.944773
13.0,13,0.950109
12.0,12,0.954999
24.0,24,0.964456
24.0,24,0.973567
24.0,24,0.982591
13.0,13,0.987567
85.0,85,1.019923
16.0,16,1.02604
14.0,14,1.03147
19.0,19,1.038658
12.0,12,1.043272
19.0,19,1.050594
22.0,22,1.058867
25.0,25,1.068223
20.0,20,1.076244
23.0,23,1.086797
17.0,17,1.095869
39.0,39,1.115777
56.0,56,1.144167
15.0,15,1.151123
17.0,17,1.159117
20.0,20,1.167218
14.0,14,1.173745
33.0,33,1.186855
41.0,41,1.203197
29.0,29,1.21474
23.0,23,1.223909
29.0,29,1.235437
9.0,9,1.239149
11.0,11,1.243589
30.0,30,1.255682
18.0,18,1.26336
10.0,10,1.267725
50.0,50,1.287955
53.0,53,1.313515
11.0,11,1.31808
17.0,17,1.324891
32.0,32,1.337396
86.0,86,1.579915
17.0,17,1.588127
14.0,14,1.594637
11.0,11,1.599268
23.0,23,1.609034
16.0,16,1.615526
14.0,14,1.621452
28.0,28,1.633047
27.0,27,1.643708
16.0,16,1.650024
68.0,68,1.676306
38.0,38,1.691349
38.0,38,1.706652
12.0,12,1.711598
28.0,28,1.722609
46.0,46,1.742585
27.0,27,1.753157
22.0,22,1.761857
38.0,38,1.776732
38.0,38,1.791888
17.0,17,1.798697
51.0,51,1.819048
16.0,16,1.825125
47.0,47,1.842817
31.0,31,1.854555
36.0,36,1.86842
10.0,10,1.872239
19.0,19,1.879737
24.0,24,1.890224
24.0,24,1.901666
16.0,16,1.909739
23.0,23,1.921175
27.0,27,1.935096
45.0,45,1.956879
17.0,17,1.964939
31.0,31,1.980711
23.0,23,1.9924
27.0,27,2.093719
14.0,14,2.100116
46.0,46,2.123378
18.0,18,2.132068
14.0,14,2.138787
30.0,30,2.152866
20.0,20,2.162282
14.0,14,2.168902
19.0,19,2.177462
10.0,10,2.182107
20.0,20,2.191366
42.0,42,2.210701
24.0,24,2.221982
14.0,14,2.228469
17.0,17,2.236583
38.0,38,2.253649
22.0,22,2.263923
22.0,22,2.274081
15.0,15,2.281273
33.0,33,2.295731
22.0,22,2.3058
16.0,16,2.313273
91.0,91,2.355264
23.0,23,2.365971
15.0,15,2.372776
17.0,17,2.380718
34.0,34,2.396941
30.0,30,2.409444
20.0,20,2.417378
20.0,20,2.425318
12.0,12,2.430128
19.0,19,2.437814
30.0,30,2.449486
30.0,30,2.461542
29.0,29,2.472985
10.0,10,2.477008
11.0,11,2.48145
23.0,23,2.490233
32.0,32,2.502123
14.0,14,2.507433
26.0,26,2.517456
12.0,12,2.522734
19.0,19,2.53332
46.0,46,2.635417
18.0,18,2.642536
46.0,46,2.659835
20.0,20,2.66752
13.0,13,2.672622
69.0,69,2.701179
56.0,56,2.727364
15.0,15,2.734323
10.0,10,2.738908
12.0,12,2.744534
17.0,17,2.752581
43.0,43,2.772635
100.0,100,2.817276
15.0,15,2.824196
25.0,25,2.835885
31.0,31,2.849993
48.0,48,2.872474
13.0,13,2.878644
26.0,26,2.892189
34.0,34,2.908938
43.0,43,2.93091
10.0,10,2.936067
28.0,28,2.949485
16.0,16,2.957664
33.0,33,2.974861
19.0,19,2.984651
23.0,23,2.995585
42.0,42,3.015393
13.0,13,3.021422
12.0,12,3.027056
60.0,60,3.054679
45.0,45,3.074543
62.0,62,3.202733
56.0,56,3.226692
17.0,17,3.233593
82.0,82,3.265263
33.0,33,3.278079
14.0,14,3.28349
13.0,13,3.288398
45.0,45,3.306032
33.0,33,3.318797
79.0,79,3.349399
44.0,44,3.367049
9.0,9,3.370937
29.0,29,3.382549
12.0,12,3.387145
16.0,16,3.393472
18.0,18,3.400216
41.0,41,3.41552
57.0,57,3.437148
31.0,31,3.448951
28.0,28,3.459435
29.0,29,3.470318
21.0,21,3.47834
81.0,81,3.516962
37.0,37,3.534553
41.0,41,3.555504
13.0,13,3.562256
24.0,24,3.574531
62.0,62,3.605958
29.0,29,3.620489
34.0,34,3.739453
18.0,18,3.747613
24.0,24,3.759525
10.0,10,3.764611
105.0,105,3.818284
31.0,31,3.834177
28.0,28,3.848145
70.0,70,3.883692
108.0,108,3.938597
17.0,17,3.946823
45.0,45,3.969939
41.0,41,3.990681
48.0,48,4.011134
15.0,15,4.01729
43.0,43,4.034282
21.0,21,4.042736
11.0,11,4.047199
14.0,14,4.052799
27.0,27,4.063556
58.0,58,4.086638
86.0,86,4.120795
38.0,38,4.135918
24.0,24,4.145592
38.0,38,4.160744
56.0,56,4.183297
35.0,35,4.280041
51.0,51,4.304223
15.0,15,4.31177
49.0,49,4.336977
46.0,46,4.360373
81.0,81,4.400452
33.0,33,4.418504
49.0,49,4.442814
52.0,52,4.469885
56.0,56,4.493157
46.0,46,4.515942
12.0,12,4.522131
38.0,38,4.540671
25.0,25,4.553158
12.0,12,4.55887
105.0,105,4.607594
14.0,14,4.614686
21.0,21,4.624744
35.0,35,4.642464
45.0,45,4.665166
72.0,72,4.702157
38.0,38,4.721734
73.0,73,4.755676
68.0,68,4.881349
64.0,64,4.90592
19.0,19,4.913167
38.0,38,4.927469
142.0,142,4.984429
100.0,100,5.022461
108.0,108,5.064589
83.0,83,5.097423
23.0,23,5.106731
12.0,12,5.112087
72.0,72,5.14828
89.0,89,5.192898
33.0,33,5.209423
15.0,15,5.21681
50.0,50,5.241258
14.0,14,5.247777
39.0,39,5.265603
82.0,82,5.303088
136.0,136,5.461925
78.0,78,5.5015
146.0,146,5.575149
21.0,21,5.585787
75.0,75,5.622981
65.0,65,5.654943
142.0,142,5.708283
30.0,30,5.719408
25.0,25,5.72863
29.0,29,5.739343
20.0,20,5.746722
132.0,132,5.795867
11.0,11,5.799989
141.0,141,5.947647
41.0,41,5.965064
57.0,57,5.989641
126.0,126,6.045588
111.0,111,6.095896
68.0,68,6.127026
97.0,97,6.170695
80.0,80,6.207342
66.0,66,6.240818
107.0,107,6.295717
200.0,200,6.397358
42.0,42,6.417361
96.0,96,6.545542
53.0,53,6.567414
143.0,143,6.630307
163.0,163,6.69173
21.0,21,6.699947
99.0,99,6.742079
65.0,65,6.772533
41.0,41,6.792578
124.0,124,6.854916
59.0,59,6.882105
81.0,81,6.918712
76.0,76,6.955498
116.0,116,7.116244
157.0,157,7.196936
128.0,128,7.250487
85.0,85,7.282726
121.0,121,7.327897
149.0,149,7.387585
174.0,174,7.454474
100.0,100,7.49263
154.0,154,7.663088
91.0,91,7.709018
200.0,200,7.799832
200.0,200,7.890782
126.0,126,7.948112
49.0,49,7.973074
200.0,200,8.05965
167.0,167,8.215281
148.0,148,8.274054
12.0,12,8.279128
174.0,174,8.350418
183.0,183,8.432013
98.0,98,8.475613
200.0,200,8.567913
100.0,100,8.712161
142.0,142,8.776527
86.0,86,8.821355
200.0,200,8.90538
66.0,66,8.930624
121.0,121,8.977
200.0,200,9.051811
185.0,185,9.227579
200.0,200,9.329884
153.0,153,9.406816
95.0,95,9.454353
185.0,185,9.549386
200.0,200,9.647669
200.0,200,9.827332
200.0,200,9.918974
200.0,200,10.011505
21.0,21,10.022301
200.0,200,10.113348
200.0,200,10.203069
80.0,80,10.240009
200.0,200,10.439005
200.0,200,10.52103
198.0,198,10.604034
195.0,195,10.696071
22.0,22,10.704926
200.0,200,10.785828
140.0,140,10.947989
124.0,124,11.009561
200.0,200,11.111385
187.0,187,11.206917
200.0,200,11.290654
179.0,179,11.365275
200.0,200,11.548547
200.0,200,11.630812
200.0,200,11.722981
200.0,200,11.813772
200.0,200,11.891827
200.0,200,12.066811
200.0,200,12.143124
200.0,200,12.223298
200.0,200,12.300307
136.0,136,12.35719
152.0,152,12.427013
200.0,200,12.615665
200.0,200,12.707019
200.0,200,12.795352
200.0,200,12.875793
200.0,200,12.95105
200.0,200,13.115644
200.0,200,13.210812
200.0,200,13.312488
200.0,200,13.415308
200.0,200,13.515824
200.0,200,13.696021
200.0,200,13.772819
200.0,200,13.850291
200.0,200,13.925325
200.0,200,14.016004
200.0,200,14.214338
200.0,200,14.317351
200.0,200,14.419225
200.0,200,14.511519
200.0,200,14.5888
193.0,193,14.76682
200.0,200,14.864494
200.0,200,14.965557
200.0,200,15.066806
196.0,196,15.166834
192.0,192,15.341331
200.0,200,15.429806
155.0,155,15.488713
160.0,160,15.555999
195.0,195,15.656672
182.0,182,15.750349
200.0,200,15.938427
200.0,200,16.012935
200.0,200,16.093413
200.0,200,16.169228
200.0,200,16.245512
200.0,200,16.414432
170.0,170,16.492229
200.0,200,16.592228
200.0,200,16.692775
195.0,195,16.793077
200.0,200,16.883419
200.0,200,17.060283
200.0,200,17.135067
199.0,199,17.220768
200.0,200,17.312034
184.0,184,17.393554
182.0,182,17.578323
200.0,200,17.671952
200.0,200,17.747979
200.0,200,17.830465
200.0,200,17.907486
200.0,200,18.086106
200.0,200,18.188715
200.0,200,18.293136
200.0,200,18.394382
134.0,134,18.464377
200.0,200,18.630189
46.0,46,18.64968
200.0,200,18.726781
200.0,200,18.817895
200.0,200,18.911597
166.0,166,18.991295
154.0,154,19.069679
183.0,183,19.254512
200.0,200,19.330545
200.0,200,19.40929
200.0,200,19.487097
200.0,200,19.564663
190.0,190,19.743786
200.0,200,19.842509
200.0,200,19.943404
200.0,200,20.044688
200.0,200,20.121597
20.0,20,20.129672
200.0,200,20.302517
200.0,200,20.38001
200.0,200,20.480893
200.0,200,20.582627
139.0,139,20.653254
199.0,199,20.860168
200.0,200,20.936807
110.0,110,20.977946
200.0,200,21.054993
200.0,200,21.12966
200.0,200,21.215524
189.0,189,21.39683
195.0,195,21.490846
200.0,200,21.592235
200.0,200,21.683882
200.0,200,21.758769
200.0,200,21.923248
200.0,200,22.006199
200.0,200,22.097307
200.0,200,22.188843
200.0,200,22.269699
200.0,200,22.450372
200.0,200,22.529806
200.0,200,22.607045
200.0,200,22.691036
200.0,200,22.76707
200.0,200,22.93855
