entropy,meankl,entloss,EpRewMean,EpThisIter,ev_tdlam_before,EpisodesSoFar,TimestepsSoFar,surrgain,EpLenMean,optimgain,TimeElapsed
0.69224304,0.00090463355,0.0,24.575,40,-0.005806922912597656,40,983,0.0054698945,24.575,0.0054698945,0.6464266777038574
0.68971086,0.00097871,0.0,28.1,37,-0.017750859260559082,77,2047,0.006952927,28.1,0.006952927,1.1709492206573486
0.6844425,0.0010455563,0.0,23.175,43,-0.01358020305633545,120,3061,0.0078045214,23.175,0.0078045214,1.7079739570617676
0.68027073,0.0009478844,0.0,28.7,32,-0.010702967643737793,152,4062,0.008123708,28.7,0.008123708,2.2778055667877197
0.67402244,0.000973994,0.0,33.925,29,0.03276771306991577,181,5118,0.009464631,33.925,0.009464631,2.813239812850952
0.66521996,0.00089007826,0.0,38.45,25,0.01115107536315918,206,6128,0.008579282,38.45,0.008579282,3.3615245819091797
0.6562451,0.0009389088,0.0,42.325,23,0.006834149360656738,229,7131,0.008885213,42.325,0.008885213,3.9572131633758545
0.6527066,0.0009472902,0.0,50.475,18,0.009459376335144043,247,8182,0.008572038,50.475,0.008572038,4.490578651428223
0.6473391,0.00095106463,0.0,59.4,13,0.01364213228225708,260,9092,0.007537633,59.4,0.007537633,5.029145240783691
0.63589305,0.00094631506,0.0,73.65,12,-0.0010933876037597656,272,10228,0.007239418,73.65,0.007239418,5.596932888031006
0.62509394,0.000833241,0.0,80.05,12,0.006226658821105957,284,11249,0.00869245,80.05,0.00869245,6.1504833698272705
0.6280596,0.0009374722,0.0,91.025,8,-0.0013668537139892578,292,12279,0.0051909606,91.025,0.0051909606,6.680413246154785
0.61743844,0.00077744585,0.0,105.45,7,-0.0005681514739990234,299,13299,0.00525862,105.45,0.00525862,7.236852169036865
0.6014254,0.0009087777,0.0,116.125,7,0.0013346672058105469,306,14281,0.0057461904,116.125,0.0057461904,7.779438018798828
0.59779596,0.0008002499,0.0,121.8,7,0.009122788906097412,313,15196,0.0052263504,121.8,0.0052263504,8.305428266525269
0.60437346,0.00080028013,0.0,133.65,6,0.014113783836364746,319,16214,0.007818315,133.65,0.007818315,8.899391651153564
0.6029763,0.00057020265,0.0,144.825,7,0.024491727352142334,326,17315,0.0058512534,144.825,0.0058512534,9.477791786193848
0.58661634,0.0008709482,0.0,151.275,6,0.21203488111495972,332,18330,0.006543095,151.275,0.006543095,10.017115592956543
0.58453476,0.000766368,0.0,156.525,6,0.1533501148223877,338,19360,0.005783112,156.525,0.005783112,10.59341311454773
0.5869952,0.000662468,0.0,164.0,5,0.0074422359466552734,343,20360,0.0052572303,164.0,0.0052572303,11.119954347610474
0.5900359,0.00048068858,0.0,170.975,6,0.02222234010696411,349,21448,0.005070243,170.975,0.005070243,11.642148971557617
0.57920325,0.00067103433,0.0,176.675,5,0.06496292352676392,354,22448,0.005114231,176.675,0.005114231,12.15416145324707
0.578562,0.0007366057,0.0,180.85,5,0.01101154088973999,359,23448,0.003844526,180.85,0.003844526,12.748234272003174
0.59316313,0.0008214158,0.0,185.325,5,0.10895669460296631,364,24448,0.002995031,185.325,0.002995031,13.266508102416992
0.59220314,0.0004597525,0.0,188.375,5,0.01838517189025879,369,25448,0.002411597,188.375,0.002411597,13.83408236503601
0.5868312,0.0005371094,0.0,196.075,5,0.22862666845321655,374,26437,0.0029278446,196.075,0.0029278446,14.428494930267334
0.5953469,0.00089192146,0.0,194.025,6,0.16925549507141113,380,27521,0.0048749847,194.025,0.0048749847,14.997809886932373
0.59108657,0.0007971969,0.0,194.025,5,0.0009046196937561035,385,28521,0.0033065076,194.025,0.0033065076,15.482875108718872
0.5930608,0.00069782004,0.0,195.95,6,0.09737652540206909,391,29686,0.00429844,195.95,0.00429844,16.07016634941101
0.5928846,0.0004915177,0.0,195.525,5,0.012588202953338623,396,30669,0.005722654,195.525,0.005722654,16.600539684295654
0.5753317,0.000542542,0.0,195.075,5,0.15212446451187134,401,31651,0.0056561665,195.075,0.0056561665,17.120062112808228
0.5797772,0.00060803955,0.0,193.425,5,0.13063830137252808,406,32585,0.00472847,193.425,0.00472847,17.71008539199829
0.57146597,0.0007122528,0.0,187.75,7,0.016940176486968994,413,33751,0.0076503293,187.75,0.0076503293,18.27485203742981
0.58717453,0.0005686939,0.0,189.75,5,0.059321045875549316,418,34734,0.0032306293,189.75,0.0032306293,18.78623080253601
0.5771452,0.000682927,0.0,185.575,6,0.11373662948608398,424,35744,0.0056226365,185.575,0.0056226365,19.34896206855774
0.5823006,0.00087843137,0.0,184.8,5,0.018519163131713867,429,36683,0.0044390485,184.8,0.0044390485,19.93888282775879
0.5816808,0.000673847,0.0,182.675,6,0.13884705305099487,435,37792,0.0047717066,182.675,0.0047717066,20.4455087184906
0.5827588,0.0004956533,0.0,183.125,5,0.12394964694976807,440,38776,0.002833255,183.125,0.002833255,20.98671245574951
0.5724491,0.0007892235,0.0,183.125,5,0.005463898181915283,445,39776,0.005517048,183.125,0.005517048,21.523013591766357
0.5596333,0.0007015222,0.0,188.625,5,0.07255399227142334,450,40776,0.00552966,188.625,0.00552966,22.01892399787903
0.5799523,0.00063839194,0.0,190.775,6,0.10708338022232056,456,41965,0.0033760732,190.775,0.0033760732,22.516889810562134
0.5801061,0.00063639076,0.0,191.025,5,0.0028792619705200195,461,42965,0.004235712,191.025,0.004235712,23.051650285720825
0.5603264,0.00094930845,0.0,195.525,5,0.002151787281036377,466,43965,0.0053162687,195.525,0.0053162687,23.56723952293396
0.56260276,0.0008407626,0.0,196.275,5,0.13720929622650146,471,44933,0.0050243563,196.275,0.0050243563,24.13505268096924
