entloss,EpLenMean,meankl,EpThisIter,optimgain,entropy,TimestepsSoFar,EpRewMean,TimeElapsed,surrgain,EpisodesSoFar,ev_tdlam_before
0.0,26.68421052631579,0.0009186062,38,0.0054170704,0.69220686,1014,26.68421,0.7089972496032715,0.0054170704,38,-0.0013976097106933594
0.0,22.325,0.0009233952,46,0.006427194,0.6895397,2026,22.325,1.223231315612793,0.006427194,84,0.005553066730499268
0.0,24.025,0.0009699255,42,0.0068618897,0.6851579,3029,24.025,1.7782328128814697,0.0068618897,126,-0.002941727638244629
0.0,26.4,0.0009923913,38,0.0067860438,0.67855775,4050,26.4,2.330024480819702,0.0067860438,164,0.00488436222076416
0.0,30.05,0.00093169353,32,0.008455226,0.6737852,5072,30.05,2.858765125274658,0.008455226,196,0.016398727893829346
0.0,37.125,0.00084800896,22,0.005200364,0.6702049,6097,37.125,3.4262022972106934,0.005200364,218,0.029542505741119385
0.0,45.825,0.00091609266,22,0.006161256,0.66317713,7046,45.825,3.997788190841675,0.006161256,240,0.01188814640045166
0.0,52.7,0.00093964115,17,0.0066933683,0.64905846,8173,52.7,4.537452697753906,0.0066933683,257,0.0071010589599609375
0.0,62.0,0.0009194652,14,0.006602641,0.6486714,9173,62.0,5.0865418910980225,0.006602641,271,0.008132517337799072
0.0,64.95,0.00075589074,15,0.0055679567,0.6405593,10210,64.95,5.59922981262207,0.0055679567,286,0.003628551959991455
0.0,73.625,0.00091600226,12,0.006358741,0.63711053,11207,73.625,6.114146709442139,0.006358741,298,0.00766909122467041
0.0,82.8,0.0008683109,10,0.005362342,0.62469923,12156,82.8,6.662030220031738,0.005362342,308,0.0023137927055358887
0.0,91.0,0.0006022992,7,0.0038472328,0.62992156,13223,91.0,7.1963279247283936,0.0038472328,315,0.0022769570350646973
0.0,106.45,0.0006313304,7,0.005226264,0.6337755,14236,106.45,7.728511810302734,0.005226264,322,0.0006353855133056641
0.0,121.825,0.00088069716,8,0.005310602,0.6111355,15301,121.825,8.311063528060913,0.005310602,330,0.00041931867599487305
