EpisodesSoFar,TimestepsSoFar,entloss,ev_tdlam_before,entropy,EpThisIter,surrgain,meankl,TimeElapsed,EpLenMean,optimgain,EpRewMean
46,1018,0.0,-9.918212890625e-05,0.69226325,46,0.008803784,0.000842892,0.5989680290222168,22.6,0.008803784,22.6
86,2046,0.0,0.001655876636505127,0.6895859,40,0.006431645,0.0009391741,1.1408717632293701,25.7,0.006431645,25.7
125,3057,0.0,0.0016879439353942871,0.6848278,39,0.0068090665,0.0009962092,1.6465208530426025,25.8,0.0068090665,25.8
163,4072,0.0,0.006247520446777344,0.6786026,38,0.0075386707,0.00098675,2.1923391819000244,26.5,0.0075386707,26.5
195,5084,0.0,0.018240392208099365,0.6715796,32,0.007910453,0.00095517526,2.7325830459594727,31.225,0.007910453,31.225
217,6079,0.0,0.011013805866241455,0.6681898,22,0.0071737655,0.0010230292,3.3138725757598877,41.05,0.0071737655,41.05
243,7164,0.0,0.0024685263633728027,0.65156657,26,0.0069863787,0.0008710005,3.8648993968963623,41.925,0.0069863787,41.925
266,8167,0.0,0.025636613368988037,0.64506495,23,0.008063141,0.00095936697,4.386400461196899,43.85,0.008063141,43.85
283,9210,0.0,0.0008435249328613281,0.64063174,17,0.009304604,0.0010014507,4.924314737319946,51.15,0.009304604,51.15
296,10239,0.0,0.004961192607879639,0.64122,13,0.006631385,0.00074659806,5.506587505340576,63.975,0.006631385,63.975
312,11221,0.0,0.005712687969207764,0.622715,16,0.0076349135,0.0009910152,6.033202409744263,65.8,0.0076349135,65.8
321,12168,0.0,0.0053784847259521484,0.6309805,9,0.005548752,0.00090505474,6.535202264785767,75.075,0.005548752,75.075
331,13296,0.0,0.016077399253845215,0.61437446,10,0.0059424094,0.0009064429,7.122127532958984,84.975,0.0059424094,84.975
340,14252,0.0,0.04271978139877319,0.61097014,9,0.0067526703,0.0009225849,7.623186826705933,96.025,0.0067526703,96.025
346,15333,0.0,0.005938291549682617,0.60580695,6,0.0052362564,0.000773404,8.131502628326416,111.35,0.0052362564,111.35
351,16279,0.0,0.06951165199279785,0.61333686,5,0.003737959,0.00077899883,8.672344446182251,127.325,0.003737959,127.325
357,17218,0.0,0.0395885705947876,0.60344267,6,0.007743854,0.0008091702,9.187497854232788,140.925,0.007743854,140.925
364,18352,0.0,0.025434255599975586,0.60293657,7,0.0056155543,0.00060277316,9.736182689666748,142.625,0.0056155543,142.625
369,19277,0.0,0.07942026853561401,0.6052407,5,0.004344694,0.0006328018,10.33615517616272,158.475,0.004344694,158.475
375,20450,0.0,0.07978951930999756,0.6026374,6,0.0042095934,0.0006893045,10.841222524642944,167.775,0.0042095934,167.775
380,21405,0.0,-0.0015184879302978516,0.59273696,5,0.0036537736,0.000750131,11.399207592010498,178.825,0.0036537736,178.825
385,22383,0.0,0.004869639873504639,0.60815203,5,0.005670389,0.00071013096,11.991391897201538,180.1,0.005670389,180.1
391,23425,0.0,-0.0013290643692016602,0.588078,6,0.0035030101,0.000749799,12.548345804214478,178.65,0.0035030101,178.65
397,24483,0.0,0.00541001558303833,0.5778636,6,0.0047982363,0.0006381427,13.069275379180908,181.625,0.0047982363,181.625
402,25434,0.0,0.0013360977172851562,0.5951007,5,0.004167881,0.0007968475,13.593197345733643,186.875,0.004167881,186.875
408,26471,0.0,0.0019704699516296387,0.58633566,6,0.006898017,0.00075318094,14.110785722732544,184.85,0.006898017,184.85
414,27621,0.0,0.005317509174346924,0.59265673,6,0.0067794635,0.00068506936,14.656519889831543,184.275,0.0067794635,184.275
419,28621,0.0,0.06661522388458252,0.5874807,5,0.004080128,0.0005848739,15.239147901535034,185.4,0.004080128,185.4
424,29588,0.0,0.0875818133354187,0.5845587,5,0.0041400967,0.0007937055,15.790885210037231,185.125,0.0041400967,185.125
429,30556,0.0,0.07838666439056396,0.5980868,5,0.0032463481,0.00076211,16.320085287094116,188.0,0.0032463481,188.0
435,31657,0.0,0.11743378639221191,0.59530044,6,0.005691086,0.0006845542,16.913605451583862,189.35,0.005691086,189.35
440,32657,0.0,0.058262646198272705,0.60175455,5,0.005192805,0.00083027716,17.432454586029053,189.525,0.005192805,189.525
446,33745,0.0,0.02718561887741089,0.5866123,6,0.004846039,0.0007474306,17.968651294708252,189.05,0.004846039,189.05
453,34812,0.0,0.0668337345123291,0.55533826,7,0.008002904,0.00094228645,18.54028344154358,184.775,0.008002904,184.775
458,35769,0.0,0.004079222679138184,0.58111537,5,0.006703304,0.00077804935,19.07417106628418,183.7,0.006703304,183.7
463,36711,0.0,0.1605696678161621,0.5750847,5,0.005404899,0.0007793023,19.57463002204895,183.075,0.005404899,183.075
469,37874,0.0,0.0644182562828064,0.58515775,6,0.00395903,0.000848759,20.174063205718994,182.95,0.00395903,182.95
474,38818,0.0,0.19181007146835327,0.5819247,5,0.00496799,0.00066347537,20.757480144500732,183.775,0.00496799,183.775
479,39814,0.0,0.22835874557495117,0.58093417,5,0.0031406637,0.00075368537,21.311320781707764,183.925,0.0031406637,183.925
485,40947,0.0,0.2452605962753296,0.5960479,6,0.00305224,0.00064264215,21.88451600074768,183.8,0.00305224,183.8
490,41878,0.0,0.26315146684646606,0.58662367,5,0.0061028297,0.0006963295,22.425673007965088,188.15,0.0061028297,188.15
496,42973,0.0,0.24556249380111694,0.5817039,6,0.0031425885,0.0007061715,22.98804497718811,189.1,0.0031425885,189.1
501,43927,0.0,0.43108588457107544,0.58347523,5,0.003421713,0.0005127161,23.536962509155273,189.15,0.003421713,189.15
507,44973,0.0,0.16862422227859497,0.5830022,6,0.0074507655,0.00094338,24.082579851150513,187.475,0.0074507655,187.475
513,46078,0.0,0.09782809019088745,0.5873767,6,0.00306435,0.0006037336,24.634389400482178,185.1,0.00306435,185.1
518,46920,0.0,0.1888522505760193,0.59455335,5,0.004470891,0.00093899283,25.206377267837524,182.65,0.004470891,182.65
524,48048,0.0,0.29744040966033936,0.58592117,6,0.005326678,0.0005217361,25.788377046585083,182.05,0.005326678,182.05
529,49048,0.0,0.12692999839782715,0.60220104,5,0.0038386267,0.00068520266,26.36082124710083,184.25,0.0038386267,184.25
535,50149,0.0,0.39261680841445923,0.58587414,6,0.0038331207,0.0005749669,26.886176109313965,184.175,0.0038331207,184.175
540,51136,0.0,0.1422986388206482,0.5641187,5,0.005614576,0.0007479978,27.464166164398193,185.225,0.005614576,185.225
545,52136,0.0,0.49005740880966187,0.58896023,5,0.0038198845,0.00058162,28.036625385284424,188.225,0.0038198845,188.225
550,53094,0.0,0.5040582418441772,0.5822958,5,0.0041219736,0.0005752796,28.59133291244507,189.375,0.0041219736,189.375
555,54094,0.0,0.4142431616783142,0.58756894,5,0.003401865,0.0007146993,29.142017126083374,190.4,0.003401865,190.4
561,55265,0.0,0.3848409056663513,0.56787324,6,0.005112876,0.0004265937,29.71150779724121,193.75,0.005112876,193.75
566,56265,0.0,0.22578388452529907,0.5708861,5,0.004975551,0.0008651117,30.248353719711304,195.425,0.004975551,195.425
571,57265,0.0,0.5218464136123657,0.5712395,5,0.003273285,0.0006450443,30.763091325759888,195.425,0.003273285,195.425
576,58265,0.0,0.31776338815689087,0.5848264,5,0.0038274357,0.00088971667,31.371397733688354,198.225,0.0038274357,198.225
581,59265,0.0,0.4694563150405884,0.60439646,5,0.0027656076,0.0008664882,31.928128719329834,198.225,0.0027656076,198.225
586,60265,0.0,0.3460767865180969,0.6077888,5,0.0037056028,0.0007068772,32.46483063697815,198.225,0.0037056028,198.225
592,61383,0.0,0.31526726484298706,0.5812552,6,0.00538057,0.0008931239,33.05424976348877,197.225,0.00538057,197.225
597,62383,0.0,0.23015058040618896,0.596396,5,0.0046464037,0.00071107515,33.63811779022217,197.95,0.0046464037,197.95
602,63330,0.0,0.27257239818573,0.5856805,5,0.0034779764,0.0004957848,34.17598915100098,196.625,0.0034779764,196.625
607,64330,0.0,0.09737527370452881,0.57678205,5,0.0040069106,0.00079830387,34.75083661079407,196.625,0.0040069106,196.625
613,65526,0.0,0.5309175252914429,0.5906054,6,0.003299256,0.00066828745,35.335636615753174,196.525,0.003299256,196.525
618,66505,0.0,0.2157968282699585,0.58989525,5,0.0035021282,0.0008101616,35.92136836051941,196.0,0.0035021282,196.0
623,67505,0.0,0.2796292304992676,0.6001183,5,0.0044031204,0.00088543806,36.48936343193054,196.0,0.0044031204,196.0
629,68583,0.0,0.5930733978748322,0.5985556,6,0.004035536,0.00095182395,37.06280279159546,195.0,0.004035536,195.0
634,69583,0.0,0.6471791565418243,0.6018536,5,0.004090801,0.0008126849,37.6082980632782,195.0,0.004090801,195.0
639,70583,0.0,0.3109826445579529,0.5991078,5,0.0031114775,0.00074679416,38.18647813796997,196.325,0.0031114775,196.325
644,71536,0.0,0.4588247537612915,0.58778584,5,0.0033287609,0.0007394652,38.73735451698303,195.15,0.0033287609,195.15
651,72610,0.0,0.34964942932128906,0.56679183,7,0.006373792,0.0008279815,39.34332633018494,187.0,0.006373792,187.0
656,73594,0.0,0.6576174199581146,0.5790349,5,0.0043205023,0.00070217764,39.88089919090271,186.7,0.0043205023,186.7
662,74618,0.0,0.286565899848938,0.57033896,6,0.007042744,0.00083141885,40.40076017379761,182.825,0.007042744,182.825
667,75618,0.0,0.5415100157260895,0.5914005,5,0.0034605367,0.00080709707,41.043657064437866,185.875,0.0034605367,185.875
672,76618,0.0,0.7186847627162933,0.58747935,5,0.0051399674,0.00085004524,41.69559049606323,185.875,0.0051399674,185.875
678,77818,0.0,0.6420779824256897,0.5997325,6,0.003223314,0.0005461024,42.322434425354004,185.875,0.003223314,185.875
683,78779,0.0,0.79814812541008,0.5879576,5,0.005555005,0.00079802476,42.89096021652222,185.65,0.005555005,185.65
688,79779,0.0,0.6855497658252716,0.59096897,5,0.004220032,0.0006987513,43.48136615753174,191.65,0.004220032,191.65
693,80750,0.0,0.7279309630393982,0.5804569,5,0.0029112117,0.0007065347,44.04133057594299,193.9,0.0029112117,193.9
698,81739,0.0,0.6689227223396301,0.58657706,5,0.0038155061,0.00055363914,44.564399003982544,194.4,0.0038155061,194.4
704,82939,0.0,0.7129848003387451,0.57155216,6,0.0038837483,0.00068381196,45.173205852508545,198.025,0.0038837483,198.025
709,83931,0.0,0.8864787966012955,0.5803435,5,0.0037952668,0.00083779223,45.72968888282776,197.825,0.0037952668,197.825
714,84931,0.0,0.6381648778915405,0.58282244,5,0.004474149,0.00084824837,46.278417110443115,197.825,0.004474149,197.825
719,85931,0.0,0.5689272284507751,0.5986487,5,0.003035144,0.00076419226,46.85932445526123,197.825,0.003035144,197.825
724,86931,0.0,0.5295876860618591,0.6039327,5,0.004399956,0.0007637392,47.44007635116577,198.8,0.004399956,198.8
729,87931,0.0,0.5387483835220337,0.5842159,5,0.0044350484,0.0007184316,47.99908804893494,198.8,0.0044350484,198.8
734,88917,0.0,0.4128374457359314,0.57110894,5,0.004566705,0.00084107276,48.55010271072388,199.175,0.004566705,199.175
740,90098,0.0,0.5440926551818848,0.59036577,6,0.0030101696,0.000775988,49.11080503463745,198.975,0.0030101696,198.975
745,91098,0.0,0.4470922350883484,0.5709248,5,0.004286949,0.0006696895,49.676719188690186,199.175,0.004286949,199.175
750,92086,0.0,0.4170605540275574,0.57272756,5,0.0056004333,0.00078394293,50.225504636764526,198.875,0.0056004333,198.875
755,93083,0.0,0.6031842231750488,0.5871514,5,0.0021029825,0.0007261375,50.767189025878906,198.8,0.0021029825,198.8
760,94083,0.0,0.43098485469818115,0.5926299,5,0.003199177,0.0006432849,51.33925414085388,198.8,0.003199177,198.8
765,95083,0.0,0.5403042435646057,0.58952355,5,0.0048156134,0.00072450505,51.8744432926178,198.8,0.0048156134,198.8
770,96083,0.0,0.5533599555492401,0.59564155,5,0.004083904,0.0007531571,52.365904331207275,198.8,0.004083904,198.8
776,97128,0.0,0.21594637632369995,0.5793761,6,0.0057471655,0.00060754555,52.88308262825012,195.425,0.0057471655,195.425
781,98106,0.0,0.4570804238319397,0.58765495,5,0.004162306,0.0007554867,53.45526361465454,195.2,0.004162306,195.2
787,99306,0.0,0.1401963233947754,0.570992,6,0.0032075935,0.00048995734,54.05606007575989,195.5,0.0032075935,195.5
792,100306,0.0,0.3627050518989563,0.5949497,5,0.003586353,0.00064996304,54.598326206207275,195.575,0.003586353,195.575
