EpThisIter,EpRewMean,ev_tdlam_before,EpisodesSoFar,entloss,entropy,surrgain,optimgain,TimestepsSoFar,TimeElapsed,EpLenMean,meankl
49,19.7,-0.010164618492126465,49,0.0,0.69234884,0.0052023204,0.0052023204,1007,0.668337345123291,19.7,0.00081373844
43,23.825,-0.026921749114990234,92,0.0,0.6899904,0.008144929,0.008144929,2037,1.1742467880249023,23.825,0.000893583
43,24.125,0.00757986307144165,135,0.0,0.6851064,0.0077553284,0.0077553284,3061,1.713071346282959,24.125,0.00095228915
43,23.45,0.1464301347732544,178,0.0,0.68286335,0.00984163,0.00984163,4050,2.2917392253875732,23.45,0.00092506874
33,29.975,0.19893091917037964,211,0.0,0.6737213,0.006021505,0.006021505,5058,2.8082058429718018,29.975,0.00081392034
33,31.45,0.11909419298171997,244,0.0,0.6666808,0.006839583,0.006839583,6110,3.36006498336792,31.45,0.00096079346
28,35.8,0.20229578018188477,272,0.0,0.66359985,0.010643348,0.010643348,7145,3.913628578186035,35.8,0.00085313
29,38.45,0.14516735076904297,301,0.0,0.6567328,0.00791431,0.00791431,8180,4.441727161407471,38.45,0.0009663211
27,37.975,0.2183261513710022,328,0.0,0.6457068,0.0094064595,0.0094064595,9211,4.9806976318359375,37.975,0.00088708056
21,42.6,0.1639782190322876,349,0.0,0.63970476,0.0110068,0.0110068,10213,5.5340728759765625,42.6,0.00093841896
15,53.7,0.13113278150558472,364,0.0,0.62950015,0.0134779215,0.0134779215,11174,6.050917387008667,53.7,0.00086782954
18,58.925,0.2241288423538208,382,0.0,0.621962,0.0064958823,0.0064958823,12268,6.592631101608276,58.925,0.0007496902
12,68.875,-0.021357178688049316,394,0.0,0.6224774,0.005497615,0.005497615,13300,7.182164907455444,68.875,0.0006581303
10,77.75,0.08922892808914185,404,0.0,0.62608945,0.0039049014,0.0039049014,14284,7.716097831726074,77.75,0.0007536325
9,86.95,0.1555105447769165,413,0.0,0.6157894,0.007844791,0.007844791,15254,8.23765254020691,86.95,0.00085825974
11,96.425,0.09692490100860596,424,0.0,0.60409606,0.008562712,0.008562712,16341,8.765644311904907,96.425,0.0008118857
5,111.65,-0.4479374885559082,429,0.0,0.6110751,0.005983256,0.005983256,17300,9.276980876922607,111.65,0.00068349415
8,119.8,-0.3257167339324951,437,0.0,0.60459757,0.003520403,0.003520403,18371,9.829749584197998,119.8,0.0007613011
7,127.05,-0.024283528327941895,444,0.0,0.598526,0.0039992593,0.0039992593,19366,10.376915454864502,127.05,0.00080476166
6,136.275,0.07576286792755127,450,0.0,0.6104748,0.0033352259,0.0033352259,20462,10.878228187561035,136.275,0.0007416637
7,147.4,-0.00826418399810791,457,0.0,0.59928536,0.011365784,0.011365784,21500,11.399406671524048,147.4,0.0007365805
5,159.775,-0.039337158203125,462,0.0,0.6006463,0.0049899155,0.0049899155,22472,11.958833932876587,159.775,0.0007872031
5,164.3,-0.2643918991088867,467,0.0,0.586344,0.0023494428,0.0023494428,23472,12.470703125,164.3,0.00073854456
5,170.575,0.01444697380065918,472,0.0,0.6089361,0.0049433596,0.0049433596,24445,12.998452186584473,170.575,0.0007061226
6,178.775,-0.05771982669830322,478,0.0,0.6050003,0.0066855345,0.0066855345,25597,13.580286026000977,178.775,0.0007770771
7,176.725,0.07035946846008301,485,0.0,0.5744803,0.0068031373,0.0068031373,26554,14.109057664871216,176.725,0.00037221424
5,177.3,-0.04912745952606201,490,0.0,0.6028925,0.0031011906,0.0031011906,27554,14.669990062713623,177.3,0.00075436215
6,183.35,-0.01371145248413086,496,0.0,0.5845255,0.0033614486,0.0033614486,28645,15.26452350616455,183.35,0.0005843554
5,184.325,0.02509903907775879,501,0.0,0.6026352,0.0032018246,0.0032018246,29645,15.792766809463501,184.325,0.0006208521
5,184.1,0.0853949785232544,506,0.0,0.59844625,0.0046274345,0.0046274345,30636,16.32669687271118,184.1,0.00040622643
5,184.775,0.02344655990600586,511,0.0,0.62000513,0.002932595,0.002932595,31636,16.873786687850952,184.775,0.00044522068
5,185.775,0.021913588047027588,516,0.0,0.6061597,0.007838017,0.007838017,32628,17.388846158981323,185.775,0.0008686619
5,187.525,0.10598349571228027,521,0.0,0.60944545,0.004981218,0.004981218,33628,17.921645879745483,187.525,0.0007375497
