# {"t_start": 1539259419.4601543, "env_id": "CartPole-v0"} 
r,l,t
23.0,23,0.880613
46.0,46,0.898508
10.0,10,0.902336
55.0,55,0.923541
37.0,37,0.937501
16.0,16,0.943743
29.0,29,0.956623
26.0,26,0.967533
32.0,32,0.981256
22.0,22,0.991302
14.0,14,0.997347
26.0,26,1.008266
19.0,19,1.016477
15.0,15,1.025236
69.0,69,1.058311
45.0,45,1.07601
18.0,18,1.082896
21.0,21,1.090859
20.0,20,1.098796
8.0,8,1.102231
12.0,12,1.107494
12.0,12,1.113265
19.0,19,1.121585
21.0,21,1.131281
12.0,12,1.137042
12.0,12,1.143131
18.0,18,1.152014
23.0,23,1.163691
16.0,16,1.171848
34.0,34,1.185344
26.0,26,1.195576
12.0,12,1.200349
13.0,13,1.205503
30.0,30,1.217313
41.0,41,1.233423
21.0,21,1.241682
25.0,25,1.251527
37.0,37,1.266023
42.0,42,1.286889
11.0,11,1.292456
35.0,35,1.310172
22.0,22,1.503171
23.0,23,1.514141
22.0,22,1.524113
13.0,13,1.529423
26.0,26,1.540516
10.0,10,1.544766
24.0,24,1.554053
15.0,15,1.560267
53.0,53,1.580337
15.0,15,1.585962
24.0,24,1.594875
19.0,19,1.601844
55.0,55,1.622718
13.0,13,1.627786
17.0,17,1.634541
10.0,10,1.638639
17.0,17,1.645383
10.0,10,1.649549
20.0,20,1.657602
23.0,23,1.666813
31.0,31,1.679377
28.0,28,1.690535
12.0,12,1.695421
11.0,11,1.699903
25.0,25,1.709555
12.0,12,1.714401
10.0,10,1.718535
22.0,22,1.727065
20.0,20,1.735293
22.0,22,1.743598
65.0,65,1.767749
9.0,9,1.771662
43.0,43,1.78799
25.0,25,1.79748
19.0,19,1.804656
35.0,35,1.818325
39.0,39,1.833621
19.0,19,1.841279
35.0,35,1.854939
11.0,11,1.859409
21.0,21,1.867672
54.0,54,1.888723
13.0,13,1.894125
16.0,16,1.99579
25.0,25,2.005992
16.0,16,2.012879
12.0,12,2.018856
22.0,22,2.02869
28.0,28,2.040249
13.0,13,2.048377
46.0,46,2.070668
13.0,13,2.075934
36.0,36,2.090359
11.0,11,2.094722
19.0,19,2.103257
29.0,29,2.117616
18.0,18,2.126513
18.0,18,2.134278
21.0,21,2.142644
29.0,29,2.154158
28.0,28,2.165298
29.0,29,2.176781
28.0,28,2.187897
12.0,12,2.19267
14.0,14,2.198255
18.0,18,2.205384
44.0,44,2.225907
40.0,40,2.245818
16.0,16,2.253829
34.0,34,2.270894
17.0,17,2.279651
36.0,36,2.297803
37.0,37,2.317268
26.0,26,2.329313
13.0,13,2.334978
18.0,18,2.342203
12.0,12,2.347136
29.0,29,2.359449
57.0,57,2.381732
27.0,27,2.392574
32.0,32,2.405021
18.0,18,2.412437
23.0,23,2.422054
33.0,33,2.435151
15.0,15,2.441276
16.0,16,2.532155
9.0,9,2.536214
20.0,20,2.544181
41.0,41,2.559551
20.0,20,2.567108
11.0,11,2.571382
35.0,35,2.584612
31.0,31,2.596634
40.0,40,2.612143
22.0,22,2.620467
38.0,38,2.634638
12.0,12,2.639425
20.0,20,2.647038
22.0,22,2.655672
12.0,12,2.660306
23.0,23,2.669091
46.0,46,2.68642
75.0,75,2.714603
20.0,20,2.722139
11.0,11,2.726372
32.0,32,2.73876
39.0,39,2.753716
74.0,74,2.786968
18.0,18,2.795167
11.0,11,2.800266
48.0,48,2.821225
26.0,26,2.833656
12.0,12,2.839427
