entloss,entropy,EpRewMean,EpThisIter,TimestepsSoFar,TimeElapsed,surrgain,EpLenMean,meankl,ev_tdlam_before,EpisodesSoFar,optimgain
0.0,0.6922624,25.0,41,1023,0.6359822750091553,0.010515184,25.0,0.00088199426,-0.04682731628417969,41,0.010515184
0.0,0.69240147,23.625,43,2035,1.1379058361053467,0.0029804455,23.625,0.00060918264,-0.07788717746734619,84,0.0029804455
0.0,0.6904268,24.675,42,3063,1.672750473022461,0.0077336677,24.675,0.00083397917,-0.35055220127105713,126,0.0077336677
0.0,0.68727756,26.625,38,4080,2.1913955211639404,0.007747719,26.625,0.0009015553,0.2085554599761963,164,0.007747719
0.0,0.6828127,25.875,40,5115,2.706266164779663,0.002305698,25.875,0.0007355616,0.16548371315002441,204,0.002305698
0.0,0.6849035,26.825,38,6133,3.2527036666870117,0.004062702,26.825,0.0008696396,0.22216767072677612,242,0.004062702
0.0,0.6839599,30.525,33,7134,3.7803239822387695,0.0030194842,30.525,0.00052598724,-0.07088983058929443,275,0.0030194842
0.0,0.6808872,31.475,31,8115,4.321244478225708,0.007387064,31.475,0.00080059015,0.25029343366622925,306,0.007387064
0.0,0.67105937,32.625,35,9205,4.865538120269775,0.008563624,32.625,0.0008629288,0.19147968292236328,341,0.008563624
0.0,0.6686431,35.0,28,10213,5.372515439987183,0.0065698763,35.0,0.00090025604,0.08811038732528687,369,0.0065698763
0.0,0.6624358,42.85,22,11201,5.896345376968384,0.0034227385,42.85,0.00070080877,-0.10378921031951904,391,0.0034227385
0.0,0.6568929,41.15,26,12269,6.428779125213623,0.007620629,41.15,0.00093805476,0.04947853088378906,417,0.007620629
0.0,0.648489,40.8,25,13259,6.957421064376831,0.005084906,40.8,0.00070297514,0.021005690097808838,442,0.005084906
0.0,0.64604115,44.6,24,14334,7.507722854614258,0.0024819411,44.6,0.0007368795,0.016880571842193604,466,0.0024819411
0.0,0.63866943,48.65,19,15330,8.019785404205322,0.0073651746,48.65,0.00087432866,0.022268712520599365,485,0.0073651746
0.0,0.6520499,51.425,19,16346,8.578689575195312,0.003987138,51.425,0.0006785139,0.14050346612930298,504,0.003987138
0.0,0.6301214,50.9,21,17366,9.100858688354492,0.005967144,50.9,0.0008183252,0.05742335319519043,525,0.005967144
0.0,0.6326935,53.35,18,18420,9.658821821212769,0.0041802907,53.35,0.00056542736,0.05217844247817993,543,0.0041802907
0.0,0.6315732,60.175,14,19380,10.211626052856445,0.0028866832,60.175,0.00075317564,0.09236413240432739,557,0.0028866832
0.0,0.62919545,67.575,16,20450,10.710225582122803,0.0062059816,67.575,0.0006252914,0.16175752878189087,573,0.0062059816
