EpThisIter,TimestepsSoFar,meankl,optimgain,surrgain,EpLenMean,entloss,EpRewMean,EpisodesSoFar,ev_tdlam_before,TimeElapsed,entropy
51,1008,0.008678299,0.021569833,0.021569833,19.025,0.0,19.025,51,0.004399657249450684,0.6544928550720215,0.68477404
39,2015,0.012182774,0.029562945,0.029562945,25.75,0.0,25.75,90,-0.025145769119262695,1.154428243637085,0.659887
26,3072,0.010071568,0.021358278,0.021358278,34.975,0.0,34.975,116,0.010941147804260254,1.7117767333984375,0.633014
18,4064,0.011399803,0.02758395,0.02758395,46.95,0.0,46.95,134,-0.004811882972717285,2.2768049240112305,0.6105165
10,4971,0.007558138,0.017597849,0.017597849,61.125,0.0,61.125,144,0.0060204267501831055,2.7969186305999756,0.6012397
8,6098,0.014403414,0.025086228,0.025086228,78.425,0.0,78.425,152,0.028489232063293457,3.378246784210205,0.58488095
10,7152,0.009679038,0.015738282,0.015738282,94.45,0.0,94.45,162,-0.011522889137268066,3.9264063835144043,0.6027893
6,8001,0.006354452,0.015115672,0.015115672,108.5,0.0,108.5,168,-0.029015302658081055,4.457174062728882,0.57673323
6,9062,0.0058770627,0.013558936,0.013558936,124.95,0.0,124.95,174,-0.00717318058013916,4.990186929702759,0.5760399
7,10184,0.005723783,0.008391823,0.008391823,139.025,0.0,139.025,181,0.008780837059020996,5.51504373550415,0.57691014
6,11105,0.006230564,0.011949901,0.011949901,146.025,0.0,146.025,187,0.011337637901306152,6.042630910873413,0.5761233
6,12258,0.012263274,0.014947497,0.014947497,149.2,0.0,149.2,193,0.010365307331085205,6.609368562698364,0.6149944
6,13287,0.008024721,0.015669383,0.015669383,157.75,0.0,157.75,199,0.004112601280212402,7.145012617111206,0.56698406
5,14287,0.006833752,0.012399409,0.012399409,171.975,0.0,171.975,204,0.00035691261291503906,7.647735834121704,0.5894649
5,15189,0.0072118165,0.013805062,0.013805062,174.7,0.0,174.7,209,0.0018561482429504395,8.184361696243286,0.56487954
6,16245,0.013476054,0.014227297,0.014227297,174.575,0.0,174.575,215,0.0001901388168334961,8.729408025741577,0.5846596
7,17384,0.008370437,0.016196508,0.016196508,176.45,0.0,176.45,222,0.0002893209457397461,9.24110198020935,0.5477649
5,18262,0.008631667,0.015097211,0.015097211,178.925,0.0,178.925,227,-0.0004258155822753906,9.807013273239136,0.55376375
6,19449,0.010429112,0.016497187,0.016497187,179.775,0.0,179.775,233,-0.0006712675094604492,10.398254156112671,0.5996235
6,20386,0.008346486,0.013301299,0.013301299,177.475,0.0,177.475,239,-0.0007066726684570312,10.927414417266846,0.5594197
6,21330,0.008603261,0.02120142,0.02120142,171.075,0.0,171.075,245,-0.0005118846893310547,11.472727060317993,0.56836575
6,22461,0.005461919,0.0140329,0.0140329,172.025,0.0,172.025,251,-0.0016711950302124023,12.01878571510315,0.57758796
6,23535,0.009659954,0.017952127,0.017952127,173.45,0.0,173.45,257,-0.0015157461166381836,12.548850536346436,0.595901
5,24478,0.010487907,0.025440585,0.025440585,177.35,0.0,177.35,262,-0.001099228858947754,13.087069511413574,0.55834293
6,25596,0.008147238,0.012791365,0.012791365,178.35,0.0,178.35,268,-0.0006730556488037109,13.678503513336182,0.56342113
5,26541,0.009262003,0.021336589,0.021336589,177.3,0.0,177.3,273,-0.0007561445236206055,14.227298974990845,0.56982076
5,27532,0.007984449,0.018587241,0.018587241,183.65,0.0,183.65,278,-0.0005869865417480469,14.766245603561401,0.5570196
6,28631,0.008485568,0.01819241,0.01819241,183.375,0.0,183.375,284,-0.0010536909103393555,15.355724811553955,0.5529244
5,29631,0.0061937193,0.0138345715,0.0138345715,189.175,0.0,189.175,289,-0.0008965730667114258,15.916979551315308,0.5427071
5,30631,0.006219403,0.0101347305,0.0101347305,191.175,0.0,191.175,294,-0.0011076927185058594,16.437198638916016,0.5708494
5,31587,0.006978315,0.014916392,0.014916392,191.8,0.0,191.8,299,-0.000794529914855957,17.027099609375,0.5793839
6,32768,0.010351991,0.013485633,0.013485633,193.15,0.0,193.15,305,-0.0007692575454711914,17.602792024612427,0.55451113
5,33768,0.010423303,0.014944732,0.014944732,194.3,0.0,194.3,310,-0.0008471012115478516,18.09509015083313,0.5460001
5,34768,0.0041176947,0.009831088,0.009831088,195.825,0.0,195.825,315,-0.0011332035064697266,18.628435134887695,0.55665314
5,35768,0.008656101,0.015849661,0.015849661,196.325,0.0,196.325,320,-0.0010944604873657227,19.137911081314087,0.5471257
5,36753,0.00743623,0.016490962,0.016490962,198.05,0.0,198.05,325,-0.0011546611785888672,19.706766366958618,0.5705286
5,37744,0.007991269,0.015147176,0.015147176,197.825,0.0,197.825,330,-0.001186966896057129,20.244226455688477,0.5400127
5,38744,0.011157592,0.016335078,0.016335078,197.825,0.0,197.825,335,-0.0010595321655273438,20.78681492805481,0.5762354
5,39744,0.007862647,0.017761368,0.017761368,198.925,0.0,198.925,340,-0.0009130239486694336,21.29411268234253,0.5503997
6,40939,0.009480862,0.026813325,0.026813325,199.275,0.0,199.275,346,-0.0005415678024291992,21.86569619178772,0.5466207
5,41939,0.0124263195,0.01524454,0.01524454,199.275,0.0,199.275,351,-0.0003650188446044922,22.413137912750244,0.55413914
5,42873,0.008140454,0.010949263,0.010949263,197.625,0.0,197.625,356,-0.0007414817810058594,22.919509410858154,0.59543824
6,43938,0.0073375045,0.028484851,0.028484851,194.625,0.0,194.625,362,-0.00020885467529296875,23.46576189994812,0.5573565
6,45016,0.011416571,0.012163698,0.012163698,191.8,0.0,191.8,368,-0.0001304149627685547,23.987026929855347,0.5449628
5,45989,0.010020581,0.028399486,0.028399486,191.125,0.0,191.125,373,0.00039893388748168945,24.51736879348755,0.549957
5,46917,0.0106378775,0.011448524,0.011448524,189.325,0.0,189.325,378,0.0010372400283813477,25.038801431655884,0.5291867
6,48065,0.010618792,0.024965107,0.024965107,188.025,0.0,188.025,384,-0.00011038780212402344,25.60580348968506,0.5656559
5,49004,0.0054098433,0.014055114,0.014055114,186.625,0.0,186.625,389,-0.0007202625274658203,26.122817754745483,0.56362194
6,50072,0.007823466,0.0214448,0.0214448,184.725,0.0,184.725,395,-0.0009092092514038086,26.671502113342285,0.52476776
5,51062,0.010391783,0.015162491,0.015162491,187.025,0.0,187.025,400,-0.0005617141723632812,27.25602078437805,0.5645268
5,52054,0.011882618,0.023292284,0.023292284,190.5,0.0,190.5,405,-0.0005394220352172852,27.810148239135742,0.56640196
7,53233,0.012738845,0.022742216,0.022742216,185.425,0.0,185.425,412,-0.00022459030151367188,28.325634479522705,0.5154958
5,54107,0.0071523124,0.015124202,0.015124202,184.75,0.0,184.75,417,0.0003191828727722168,28.922175645828247,0.55418134
6,55241,0.0077221626,0.018820379,0.018820379,184.4,0.0,184.4,423,-0.0002541542053222656,29.405367374420166,0.54205465
5,56208,0.008714839,0.021408753,0.021408753,185.1,0.0,185.1,428,0.003753960132598877,29.90311598777771,0.5495012
6,57306,0.009668296,0.015696984,0.015696984,185.85,0.0,185.85,434,0.00040984153747558594,30.450922966003418,0.53576744
5,58226,0.0068749115,0.0123385005,0.0123385005,184.1,0.0,184.1,439,-0.00034821033477783203,30.978346347808838,0.5382732
7,59300,0.007188875,0.021318875,0.021318875,176.15,0.0,176.15,446,-0.000773310661315918,31.53687357902527,0.5169787
6,60365,0.006406054,0.019839065,0.019839065,178.3,0.0,178.3,452,0.005628705024719238,32.04299283027649,0.5298528
5,61365,0.011221208,0.015148232,0.015148232,181.45,0.0,181.45,457,0.005277812480926514,32.56676197052002,0.500702
5,62285,0.010897015,0.015842367,0.015842367,180.025,0.0,180.025,462,0.002352476119995117,33.118311166763306,0.5243271
6,63324,0.010204816,0.024424063,0.024424063,177.9,0.0,177.9,468,0.0015218853950500488,33.70670676231384,0.49582246
6,64511,0.00962519,0.020474788,0.020474788,180.125,0.0,180.125,474,0.015332162380218506,34.21621632575989,0.5101154
5,65511,0.010459097,0.020294528,0.020294528,182.125,0.0,182.125,479,0.040180861949920654,34.764405488967896,0.5029706
5,66462,0.008415105,0.014634279,0.014634279,184.725,0.0,184.725,484,-0.007779240608215332,35.352487325668335,0.49595457
