entropy,EpLenMean,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,ev_tdlam_before,entloss,TimeElapsed,optimgain,EpThisIter,surrgain
0.6490652,23.25,44,1009,23.25,0.047148995,0.0038832426071166992,0.0,0.6552953720092773,0.053606085,44,0.053606085
0.5649879,30.7,76,2036,30.7,0.05371956,0.001537621021270752,0.0,1.2009823322296143,0.045414478,32,0.045414478
0.53273106,48.1,88,3054,48.1,0.062723,-0.0006405115127563477,0.0,1.7732737064361572,0.052497827,12,0.052497827
0.5394003,68.85,95,4064,68.85,0.02210387,-0.0871659517288208,0.0,2.3197429180145264,0.017099453,7,0.017099453
0.5870155,88.55,102,5062,88.55,0.028307978,-0.14072036743164062,0.0,2.8503994941711426,0.0101202885,7,0.0101202885
0.60775036,109.5,108,6106,109.5,0.062000357,-0.08740890026092529,0.0,3.406352996826172,0.016431235,6,0.016431235
0.52188194,116.025,121,7147,116.025,0.049936835,-0.06838130950927734,0.0,3.9455978870391846,0.0511063,13,0.0511063
0.59043586,130.175,127,8061,130.175,0.051038597,-0.03595125675201416,0.0,4.483449459075928,0.027834311,6,0.027834311
0.52367604,124.0,136,9158,124.0,0.07416439,-0.01674783229827881,0.0,5.002409219741821,0.024480011,9,0.024480011
0.5947554,130.475,141,10151,130.475,0.04324098,-0.029520869255065918,0.0,5.514539480209351,0.0178203,5,0.0178203
0.56684214,129.875,147,11101,129.875,0.07239137,0.047746360301971436,0.0,6.027618408203125,0.023283917,6,0.023283917
0.5637071,137.2,155,12137,137.2,0.015685048,0.2465827465057373,0.0,6.566158056259155,0.023612611,8,0.023612611
0.52394736,142.675,164,13293,142.675,0.03356887,0.17554187774658203,0.0,7.147405624389648,0.03579165,9,0.03579165
0.50320077,144.125,169,14162,144.125,0.054168377,0.10040420293807983,0.0,7.635387659072876,0.017465442,5,0.017465442
0.51351297,157.15,175,15334,157.15,0.014789958,0.023010969161987305,0.0,8.197791576385498,0.018274972,6,0.018274972
0.5174265,159.075,180,16314,159.075,0.030984899,0.011359751224517822,0.0,8.714175462722778,0.029521488,5,0.029521488
0.502437,161.525,185,17314,161.525,0.05445283,0.0048520565032958984,0.0,9.232922077178955,0.030796694,5,0.030796694
0.4909343,167.575,190,18314,167.575,0.0303431,0.0009544491767883301,0.0,9.806123971939087,0.019846534,5,0.019846534
0.47210902,179.425,195,19314,179.425,0.07086708,0.0007736086845397949,0.0,10.368235349655151,0.033702873,5,0.033702873
0.5033826,190.15,201,20441,190.15,0.06610909,0.002757251262664795,0.0,11.058775901794434,0.057134725,6,0.057134725
0.52798474,194.3,206,21441,194.3,0.03646093,0.0007491111755371094,0.0,11.66127872467041,0.031364568,5,0.031364568
0.50872976,194.55,211,22344,194.55,0.03496499,0.0034168362617492676,0.0,12.232997417449951,0.016811386,5,0.016811386
0.509045,194.625,217,23513,194.625,0.041524827,0.001183152198791504,0.0,12.838552474975586,0.024231581,6,0.024231581
0.51711035,189.575,223,24497,189.575,0.054701805,0.003894507884979248,0.0,13.418595790863037,0.034264594,6,0.034264594
0.5143954,180.975,230,25553,180.975,0.032298416,0.000306546688079834,0.0,14.009327411651611,0.032354154,7,0.032354154
0.53043306,163.65,239,26624,163.65,0.018858802,8.040666580200195e-05,0.0,14.578474521636963,0.019451689,9,0.019451689
