# {"t_start": 1539259890.9728131, "env_id": "CartPole-v0"} 
r,l,t
11.0,11,0.911844
12.0,12,0.91715
29.0,29,0.928897
65.0,65,0.955274
16.0,16,0.961949
31.0,31,0.974845
18.0,18,0.982655
22.0,22,0.99224
21.0,21,1.000607
17.0,17,1.007527
28.0,28,1.01852
18.0,18,1.025802
12.0,12,1.030727
13.0,13,1.035985
12.0,12,1.040989
12.0,12,1.045902
15.0,15,1.05192
13.0,13,1.057268
16.0,16,1.063689
10.0,10,1.067952
12.0,12,1.073741
12.0,12,1.079115
26.0,26,1.091639
16.0,16,1.099629
39.0,39,1.119595
23.0,23,1.131009
10.0,10,1.135877
30.0,30,1.148671
19.0,19,1.157215
18.0,18,1.164487
18.0,18,1.172037
13.0,13,1.177875
27.0,27,1.190515
14.0,14,1.197061
22.0,22,1.207337
24.0,24,1.219459
32.0,32,1.2356
21.0,21,1.245941
14.0,14,1.252771
11.0,11,1.258017
21.0,21,1.26711
14.0,14,1.273853
30.0,30,1.286257
12.0,12,1.291978
25.0,25,1.304388
14.0,14,1.311527
23.0,23,1.322928
10.0,10,1.327786
11.0,11,1.332899
16.0,16,1.340625
13.0,13,1.346234
14.0,14,1.352921
22.0,22,1.36308
17.0,17,1.559196
47.0,47,1.578237
47.0,47,1.596908
28.0,28,1.608139
63.0,63,1.633527
23.0,23,1.642831
41.0,41,1.659149
29.0,29,1.670723
45.0,45,1.688636
37.0,37,1.703774
41.0,41,1.719601
85.0,85,1.757469
22.0,22,1.767536
27.0,27,1.778789
15.0,15,1.784999
54.0,54,1.809934
31.0,31,1.827336
44.0,44,1.84647
27.0,27,1.856815
35.0,35,1.870327
47.0,47,1.888433
88.0,88,1.921772
27.0,27,1.935555
23.0,23,1.947523
45.0,45,1.970127
73.0,73,2.107096
33.0,33,2.122356
19.0,19,2.130318
12.0,12,2.135107
23.0,23,2.144212
29.0,29,2.155639
30.0,30,2.170695
20.0,20,2.180343
51.0,51,2.20366
24.0,24,2.216035
21.0,21,2.22702
20.0,20,2.236948
28.0,28,2.25114
57.0,57,2.280735
18.0,18,2.289947
12.0,12,2.295823
31.0,31,2.311987
14.0,14,2.31864
25.0,25,2.331416
10.0,10,2.3362
30.0,30,2.351656
29.0,29,2.366485
23.0,23,2.377941
10.0,10,2.38296
60.0,60,2.413431
30.0,30,2.425833
22.0,22,2.434856
41.0,41,2.451213
20.0,20,2.458785
18.0,18,2.465481
16.0,16,2.471466
42.0,42,2.487196
23.0,23,2.496756
40.0,40,2.513235
20.0,20,2.52143
44.0,44,2.539163
44.0,44,2.556631
8.0,8,2.653037
19.0,19,2.661777
84.0,84,2.695036
75.0,75,2.723595
24.0,24,2.732932
26.0,26,2.743608
31.0,31,2.757005
62.0,62,2.787643
68.0,68,2.82236
46.0,46,2.845849
25.0,25,2.858567
27.0,27,2.871611
44.0,44,2.890283
103.0,103,2.936394
48.0,48,2.960305
30.0,30,2.974127
63.0,63,3.003324
11.0,11,3.008752
29.0,29,3.021409
88.0,88,3.061884
60.0,60,3.092863
34.0,34,3.109103
15.0,15,3.116263
157.0,157,3.287069
85.0,85,3.326725
166.0,166,3.405398
200.0,200,3.491883
200.0,200,3.570969
200.0,200,3.669777
188.0,188,3.863498
151.0,151,3.930578
160.0,160,4.002043
200.0,200,4.099739
178.0,178,4.177015
130.0,130,4.238455
58.0,58,4.367944
157.0,157,4.44579
138.0,138,4.515227
13.0,13,4.52139
131.0,131,4.583814
118.0,118,4.641021
129.0,129,4.705592
126.0,126,4.763301
112.0,112,4.820444
200.0,200,4.98695
200.0,200,5.069294
200.0,200,5.148535
200.0,200,5.227577
161.0,161,5.307661
90.0,90,5.349792
149.0,149,5.519946
56.0,56,5.545943
52.0,52,5.570341
63.0,63,5.596811
21.0,21,5.607281
68.0,68,5.642198
74.0,74,5.675434
26.0,26,5.687624
99.0,99,5.730052
95.0,95,5.769908
166.0,166,5.841241
66.0,66,5.869653
78.0,78,5.908056
200.0,200,6.111742
66.0,66,6.146188
163.0,163,6.225504
80.0,80,6.266198
97.0,97,6.315547
56.0,56,6.342203
56.0,56,6.367889
108.0,108,6.420782
72.0,72,6.457577
41.0,41,6.474288
110.0,110,6.523772
74.0,74,6.641532
148.0,148,6.698861
72.0,72,6.727039
75.0,75,6.756927
89.0,89,6.792336
62.0,62,6.817052
123.0,123,6.865922
128.0,128,6.916779
84.0,84,6.950181
137.0,137,7.004497
138.0,138,7.156002
78.0,78,7.196359
138.0,138,7.258432
119.0,119,7.305933
187.0,187,7.378663
60.0,60,7.404129
109.0,109,7.446763
89.0,89,7.483771
112.0,112,7.541382
81.0,81,7.676623
53.0,53,7.69942
44.0,44,7.720696
42.0,42,7.740527
121.0,121,7.795635
55.0,55,7.819968
92.0,92,7.862541
60.0,60,7.88997
65.0,65,7.920189
65.0,65,7.95005
141.0,141,8.014839
196.0,196,8.095049
81.0,81,8.21654
16.0,16,8.223803
103.0,103,8.264418
17.0,17,8.271563
126.0,126,8.322788
152.0,152,8.388925
105.0,105,8.431808
200.0,200,8.51021
119.0,119,8.555429
156.0,156,8.625153
14.0,14,8.632375
80.0,80,8.753167
156.0,156,8.824292
119.0,119,8.876261
185.0,185,8.983235
148.0,148,9.042946
66.0,66,9.069735
96.0,96,9.114404
149.0,149,9.175754
191.0,191,9.354999
122.0,122,9.415841
147.0,147,9.49156
179.0,179,9.564331
174.0,174,9.648461
200.0,200,9.727569
91.0,91,9.856143
55.0,55,9.876708
166.0,166,9.94189
177.0,177,10.011826
134.0,134,10.064699
95.0,95,10.112582
76.0,76,10.151669
116.0,116,10.211689
131.0,131,10.277675
123.0,123,10.439524
104.0,104,10.478313
165.0,165,10.540004
30.0,30,10.55183
137.0,137,10.609713
157.0,157,10.673212
76.0,76,10.704681
86.0,86,10.740541
200.0,200,10.924971
116.0,116,10.983963
200.0,200,11.08648
200.0,200,11.189638
143.0,143,11.257611
98.0,98,11.295557
120.0,120,11.341256
200.0,200,11.512622
