EpLenMean,TimeElapsed,EpisodesSoFar,optimgain,entloss,entropy,ev_tdlam_before,EpRewMean,meankl,TimestepsSoFar,EpThisIter,surrgain
22.75,0.6352040767669678,46,0.13628827,0.0,0.4738415,0.0021950602531433105,22.75,0.31867158,1024,46,0.13628827
42.775,1.127312183380127,54,0.03959441,0.0,0.39698684,0.006544768810272217,42.775,0.43867195,2022,8,0.03959441
63.7,1.7071614265441895,62,0.0366231,0.0,0.37417504,0.03742116689682007,63.7,0.35971817,3072,8,0.0366231
85.725,2.2321603298187256,68,0.036647275,0.0,0.49536657,-0.007973909378051758,85.725,0.21449426,4072,6,0.036647275
104.05,2.739933729171753,76,0.055109095,0.0,0.3517421,-0.006566643714904785,104.05,0.30947036,4959,8,0.055109095
126.675,3.272937774658203,84,0.05282042,0.0,0.41014883,-0.05423116683959961,126.675,0.2729379,6050,8,0.05282042
127.775,3.812258720397949,93,0.04328989,0.0,0.4150929,-0.09500408172607422,127.775,0.23984207,7060,9,0.04328989
115.85,4.318992376327515,105,0.054605193,0.0,0.37531713,-0.08444535732269287,115.85,0.20043068,8129,12,0.054605193
107.125,4.852295637130737,115,0.16669086,0.0,0.3836726,-0.07070457935333252,107.125,0.4215858,9173,10,0.16669086
9.425,5.413553714752197,218,0.060579773,0.0,0.21982321,0.09015762805938721,9.425,0.13637312,10232,103,0.060579773
9.7,5.957714319229126,324,0.09759563,0.0,0.12149642,0.6942419409751892,9.7,0.6597469,11260,106,0.09759563
10.675,6.500447034835815,420,0.019131858,0.0,0.21518433,0.29403746128082275,10.675,0.053910766,12281,96,0.019131858
10.45,7.041262626647949,515,0.02133112,0.0,0.38260663,-0.12184333801269531,10.45,0.177939,13303,95,0.02133112
10.125,7.6062610149383545,616,0.0672646,0.0,0.28583258,-0.17301106452941895,10.125,0.53832823,14330,101,0.0672646
17.425,8.144780158996582,674,0.0423522,0.0,0.30833054,-0.32716691493988037,17.425,0.26130557,15343,58,0.0423522
26.675,8.741212606430054,709,0.027516898,0.0,0.26257783,-0.12566852569580078,26.675,0.19867972,16340,35,0.027516898
33.95,9.291570901870728,739,0.03260331,0.0,0.23724802,-0.03930091857910156,33.95,0.03426127,17380,30,0.03260331
31.925,9.820024967193604,771,0.061140332,0.0,0.14598668,-0.0032134056091308594,31.925,0.7366903,18418,32,0.061140332
41.75,10.391541481018066,790,0.017741058,0.0,0.42086983,0.15877962112426758,41.75,0.10913636,19443,19,0.017741058
58.8,10.929461002349854,803,0.06434027,0.0,0.44021678,0.1350356936454773,58.8,0.3585276,20477,13,0.06434027
22.05,11.441125631332397,849,0.04433327,0.0,0.2970568,-0.009247779846191406,22.05,0.2949847,21453,46,0.04433327
27.75,11.991315126419067,886,0.018484738,0.0,0.40261817,0.014750659465789795,27.75,0.037867233,22525,37,0.018484738
27.275,12.533982753753662,923,0.007662326,0.0,0.37539494,0.03646063804626465,27.275,0.18030018,23534,37,0.007662326
18.075,13.068822860717773,979,0.010045657,0.0,0.240364,0.1390380859375,18.075,0.1608399,24556,56,0.010045657
18.4,13.638831377029419,1036,0.100392625,0.0,0.29786402,0.09123486280441284,18.4,0.3682647,25599,57,0.100392625
39.075,14.166258573532104,1043,0.02316679,0.0,0.23614328,-0.0024825334548950195,39.075,0.657755,26556,7,0.02316679
61.25,14.704698324203491,1048,0.09127452,0.0,0.19366889,-0.018366575241088867,61.25,0.6028677,27530,5,0.09127452
84.05,15.246210813522339,1054,0.056900226,0.0,0.30655584,-0.019556045532226562,84.05,0.30536678,28612,6,0.056900226
106.4,15.791445255279541,1062,0.20504989,0.0,0.33640814,0.016296863555908203,106.4,0.51768494,29608,8,0.20504989
17.325,16.300342321395874,1116,0.16740729,0.0,0.39419216,0.08727669715881348,17.325,0.33099097,30711,54,0.16740729
37.85,16.821396112442017,1121,0.014128014,0.0,0.2864585,-0.03073585033416748,37.85,0.14011131,31609,5,0.014128014
60.825,17.308974981307983,1126,0.026741106,0.0,0.35561097,-0.014439702033996582,60.825,0.19603515,32609,5,0.026741106
86.575,17.814893007278442,1133,0.10681841,0.0,0.27666032,0.024814963340759277,86.575,0.37477624,33786,7,0.10681841
106.25,18.373475551605225,1142,0.029107742,0.0,0.14406967,-0.01731288433074951,106.25,0.41103268,34743,9,0.029107742
128.275,18.88463306427002,1150,0.020034984,0.0,0.24203569,-0.01866936683654785,128.275,0.26894662,35743,8,0.020034984
147.575,19.414684057235718,1157,0.04992708,0.0,0.21233615,-0.014706969261169434,147.575,0.4304969,36814,7,0.04992708
136.225,19.97419810295105,1165,0.048963927,0.0,0.27570415,-0.009753227233886719,136.225,0.18356699,37858,8,0.048963927
127.95,20.478734493255615,1173,0.03126329,0.0,0.25580418,0.039919495582580566,127.95,0.07635743,38904,8,0.03126329
129.575,21.040841817855835,1182,0.016106438,0.0,0.24488497,0.008254587650299072,129.575,0.09602354,39926,9,0.016106438
129.05,21.583834648132324,1190,0.01806508,0.0,0.19850503,0.00447237491607666,129.05,0.46857673,40905,8,0.01806508
133.725,22.112480401992798,1195,0.031878274,0.0,0.17095959,0.21625357866287231,133.725,0.1540711,41842,5,0.031878274
136.925,22.67521619796753,1202,0.08659577,0.0,0.2393792,0.10136127471923828,136.925,0.24745582,42960,7,0.08659577
144.225,23.23638129234314,1207,0.039449543,0.0,0.15091515,0.4030623435974121,144.225,0.5068652,43855,5,0.039449543
153.35,23.780437469482422,1213,0.064899705,0.0,0.17453155,0.05130124092102051,153.35,0.39079556,45038,6,0.064899705
162.95,24.296639680862427,1218,0.056524314,0.0,0.215786,-0.002606630325317383,162.95,0.6563376,46038,5,0.056524314
161.225,24.814873456954956,1227,0.07879932,0.0,0.28956836,-0.0043457746505737305,161.225,0.33866966,47055,9,0.07879932
154.625,25.35210084915161,1235,0.0393662,0.0,0.33320445,-0.003985881805419922,154.625,0.67154837,48027,8,0.0393662
