TimestepsSoFar,EpThisIter,entropy,EpisodesSoFar,TimeElapsed,entloss,meankl,EpLenMean,surrgain,optimgain,EpRewMean,ev_tdlam_before
1005,42,0.6923599,42,0.6048738956451416,0.0,0.00086699525,24.2,0.0068488447,0.0068488447,24.2,-0.004829883575439453
2019,35,0.68984735,77,1.1017539501190186,0.0,0.00096866675,28.5,0.0075475033,0.0075475033,28.5,0.0007620453834533691
3063,43,0.68528366,120,1.6608707904815674,0.0,0.0008815569,23.975,0.0068350113,0.0068350113,23.975,-0.011417508125305176
4081,37,0.6807085,157,2.1746084690093994,0.0,0.00092031306,27.2,0.008328698,0.008328698,27.2,0.007561028003692627
5113,38,0.6719514,195,2.700636386871338,0.0,0.0010019892,27.3,0.00844218,0.00844218,27.3,0.0057738423347473145
6142,29,0.6665913,224,3.2790284156799316,0.0,0.00088125054,35.7,0.00835384,0.00835384,35.7,0.014524996280670166
7115,24,0.6595428,248,3.825425863265991,0.0,0.001035948,37.35,0.008804919,0.008804919,37.35,0.008648931980133057
8129,17,0.6508624,265,4.322311162948608,0.0,0.0009239273,49.225,0.0071578287,0.0071578287,49.225,0.022658944129943848
9171,18,0.6388799,283,4.908775329589844,0.0,0.00080207724,54.625,0.007844994,0.007844994,54.625,0.009532809257507324
10211,17,0.6300504,300,5.487452983856201,0.0,0.000929266,59.025,0.00728429,0.00728429,59.025,-0.0003123283386230469
11161,10,0.63781655,310,6.016345977783203,0.0,0.0008022355,66.025,0.007202548,0.007202548,66.025,0.017251789569854736
12262,12,0.62443846,322,6.55234169960022,0.0,0.0008020926,77.775,0.005439409,0.005439409,77.775,0.006213784217834473
13244,8,0.620455,330,7.109995126724243,0.0,0.0008340428,90.325,0.00973876,0.00973876,90.325,0.00768667459487915
14313,9,0.60908544,339,7.627641201019287,0.0,0.0007555443,103.875,0.0044715423,0.0044715423,103.875,0.0056801438331604
15334,7,0.62064,346,8.180159330368042,0.0,0.0007511333,112.35,0.005359123,0.005359123,112.35,0.011041224002838135
16341,8,0.60643804,354,8.70642638206482,0.0,0.0006567613,117.1,0.0051274495,0.0051274495,117.1,0.013200998306274414
17255,7,0.60832727,361,9.213101387023926,0.0,0.00071656564,126.025,0.0074078147,0.0074078147,126.025,0.006002366542816162
18402,8,0.5939107,369,9.769543886184692,0.0,0.0008519192,131.9,0.00759017,0.00759017,131.9,0.03167837858200073
19319,6,0.60156095,375,10.313083171844482,0.0,0.0005474948,135.05,0.0049061747,0.0049061747,135.05,-0.0023326873779296875
20453,7,0.6021547,382,10.840562343597412,0.0,0.00073220755,143.1,0.0056758705,0.0056758705,143.1,0.06340843439102173
21350,5,0.62212306,387,11.365635633468628,0.0,0.00076207204,145.4,0.0060083955,0.0060083955,145.4,0.05685192346572876
22480,6,0.60151005,393,11.93278455734253,0.0,0.0009273355,157.825,0.0046984376,0.0046984376,157.825,0.07316839694976807
23528,6,0.5908026,399,12.523611068725586,0.0,0.00087224157,163.225,0.0055740327,0.0055740327,163.225,0.03047281503677368
24464,5,0.5975214,404,13.051989316940308,0.0,0.00048177395,169.325,0.0039471127,0.0039471127,169.325,0.061726272106170654
25550,6,0.60379124,410,13.663093090057373,0.0,0.00050513295,177.35,0.00362079,0.00362079,177.35,0.10153388977050781
26508,5,0.6195933,415,14.18271541595459,0.0,0.00081198104,179.725,0.004115415,0.004115415,179.725,0.03704202175140381
27636,6,0.6026756,421,14.73521614074707,0.0,0.0007145044,183.15,0.0038349763,0.0038349763,183.15,0.11198669672012329
28631,5,0.6013988,426,15.304847002029419,0.0,0.00059047336,185.35,0.0049909805,0.0049909805,185.35,0.05349135398864746
29551,5,0.59772766,431,15.845582962036133,0.0,0.00062120496,186.0,0.0043038204,0.0043038204,186.0,0.009326159954071045
30522,5,0.60661316,436,16.349949598312378,0.0,0.0008778902,188.175,0.0038494663,0.0038494663,188.175,0.010124504566192627
31611,6,0.5913798,442,16.913033723831177,0.0,0.00078027224,187.075,0.008013241,0.008013241,187.075,0.18449151515960693
