EpisodesSoFar,TimestepsSoFar,entropy,EpThisIter,surrgain,ev_tdlam_before,entloss,optimgain,meankl,EpLenMean,TimeElapsed,EpRewMean
45,1003,0.6922015,45,0.006758854,-0.007230877876281738,0.0,0.006758854,0.00085360603,22.15,0.6399078369140625,22.15
87,2040,0.6893679,42,0.010722851,0.03089696168899536,0.0,0.010722851,0.0009802022,24.675,1.1711978912353516,24.675
129,3055,0.6846533,42,0.009104159,-0.0003465414047241211,0.0,0.009104159,0.0009682219,24.4,1.7132229804992676,24.4
163,4066,0.68045545,34,0.009762835,0.044256389141082764,0.0,0.009762835,0.0009157558,27.45,2.280900478363037,27.45
197,5094,0.6735227,34,0.009493183,0.054572880268096924,0.0,0.009493183,0.0009959318,30.725,2.8238723278045654,30.725
230,6141,0.664979,33,0.011022739,0.05890554189682007,0.0,0.011022739,0.00092619937,30.6,3.385453462600708,30.6
248,7135,0.66398335,18,0.012852818,0.060339391231536865,0.0,0.012852818,0.0008666624,39.8,3.9899754524230957,39.8
268,8154,0.6512198,20,0.011579195,0.022683918476104736,0.0,0.011579195,0.00096166914,51.45,4.5607922077178955,51.45
289,9200,0.6385722,21,0.010946691,0.047822415828704834,0.0,0.010946691,0.0008748643,50.675,5.097367763519287,50.675
306,10203,0.62984085,17,0.012858776,0.09321480989456177,0.0,0.012858776,0.0010138592,52.225,5.660799026489258,52.225
317,11210,0.63036716,11,0.010191679,0.18986153602600098,0.0,0.010191679,0.0008845201,65.8,6.2384655475616455,65.8
327,12281,0.6218482,10,0.013401918,-0.07085323333740234,0.0,0.013401918,0.0008190626,79.35,6.778056383132935,79.35
338,13298,0.6080724,11,0.008323849,0.0500338077545166,0.0,0.008323849,0.00072795287,89.5,7.403034687042236,89.5
347,14332,0.6085332,9,0.009488819,0.07340997457504272,0.0,0.009488819,0.0007607261,99.9,7.987863063812256,99.9
354,15297,0.6035683,7,0.010171718,0.13892203569412231,0.0,0.010171718,0.0005525592,109.525,8.496800899505615,109.525
360,16204,0.5944369,6,0.012478098,0.10458272695541382,0.0,0.012478098,0.00075811055,116.325,8.999375581741333,116.325
367,17280,0.6059495,7,0.005232299,0.0032444000244140625,0.0,0.005232299,0.0007002437,124.975,9.583132028579712,124.975
373,18284,0.5859884,6,0.006823602,-0.004160523414611816,0.0,0.006823602,0.0007820802,137.4,10.161096811294556,137.4
379,19439,0.5983511,6,0.0058556637,0.06898719072341919,0.0,0.0058556637,0.0008742695,149.325,10.732627868652344,149.325
384,20439,0.6035949,5,0.005312143,-0.0033397674560546875,0.0,0.005312143,0.0006147014,161.675,11.31475567817688,161.675
389,21406,0.59844196,5,0.0047779214,-0.010622143745422363,0.0,0.0047779214,0.0005588683,171.75,11.93549656867981,171.75
395,22440,0.5845156,6,0.0045041116,0.302787721157074,0.0,0.0045041116,0.00076021894,173.575,12.484488248825073,173.575
400,23440,0.5922804,5,0.0067588952,-0.0061566829681396484,0.0,0.0067588952,0.0007285486,180.9,13.0348379611969,180.9
405,24433,0.602111,5,0.005249654,-0.0015685558319091797,0.0,0.005249654,0.00057211844,187.5,13.634742259979248,187.5
411,25565,0.58870757,6,0.004738175,0.3790441155433655,0.0,0.004738175,0.00078976294,187.725,14.19288182258606,187.725
416,26553,0.5794414,5,0.0069914954,-0.003834247589111328,0.0,0.0069914954,0.0008868978,191.975,14.735734462738037,191.975
421,27553,0.58561414,5,0.004040317,-0.0011358261108398438,0.0,0.004040317,0.0008001131,192.85,15.317750215530396,192.85
426,28553,0.59480846,5,0.0037502358,0.005261421203613281,0.0,0.0037502358,0.0005530068,192.85,15.89900827407837,192.85
432,29683,0.57638097,6,0.003965349,7.051229476928711e-05,0.0,0.003965349,0.0006773567,192.25,16.44340467453003,192.25
437,30683,0.5834256,5,0.005962762,-0.0030333995819091797,0.0,0.005962762,0.0008823337,196.075,16.998048067092896,196.075
442,31683,0.59535575,5,0.0022721924,-0.002240896224975586,0.0,0.0022721924,0.0007339921,196.075,17.602057218551636,196.075
447,32683,0.59275407,5,0.0020340346,-0.0020127296447753906,0.0,0.0020340346,0.00082767394,197.15,18.168965578079224,197.15
452,33657,0.5831915,5,0.006152882,-0.0013581514358520508,0.0,0.006152882,0.00056216004,197.3,18.694910764694214,197.3
458,34694,0.568745,6,0.0057077995,-0.00054931640625,0.0,0.0057077995,0.00085879007,193.525,19.19131636619568,193.525
463,35694,0.58984137,5,0.0075431587,-0.0010480880737304688,0.0,0.0075431587,0.0009802392,193.525,19.734532833099365,193.525
468,36680,0.5734104,5,0.00672572,-0.0016584396362304688,0.0,0.00672572,0.0006951039,193.175,20.290473461151123,193.175
474,37880,0.6017673,6,0.0023638178,-0.0013598203659057617,0.0,0.0023638178,0.000717911,194.925,20.87908625602722,194.925
479,38880,0.57513845,5,0.0065410975,-0.0017061233520507812,0.0,0.0065410975,0.00087858835,194.925,21.439969062805176,194.925
484,39879,0.59148276,5,0.004471611,-0.0013712644577026367,0.0,0.004471611,0.0003231912,194.9,22.04229736328125,194.9
489,40879,0.58588827,5,0.0025627902,-0.0011188983917236328,0.0,0.0025627902,0.000648957,195.55,22.605745315551758,195.55
494,41879,0.5755156,5,0.0029706405,-0.0013713836669921875,0.0,0.0029706405,0.0010180583,195.55,23.208702087402344,195.55
499,42879,0.59154445,5,0.0026037795,-0.0013363361358642578,0.0,0.0026037795,0.0008056557,199.625,23.750922679901123,199.625
504,43879,0.5911412,5,0.004401143,-0.001484990119934082,0.0,0.004401143,0.00093323493,199.625,24.30534839630127,199.625
509,44879,0.59749234,5,0.0024797535,-0.0013034343719482422,0.0,0.0024797535,0.0005897506,199.975,24.898606061935425,199.975
515,46079,0.58243096,6,0.0033819145,0.00046706199645996094,0.0,0.0033819145,0.00076293293,199.975,25.4663188457489,199.975
520,47079,0.58699405,5,0.0036298456,-0.001020669937133789,0.0,0.0036298456,0.00086825003,199.975,25.997234344482422,199.975
525,48079,0.5787711,5,0.004976271,-0.00011479854583740234,0.0,0.004976271,0.0008431453,200.0,26.574527978897095,200.0
530,49079,0.57952106,5,0.0083287135,-0.0007989406585693359,0.0,0.0083287135,0.00072084664,200.0,27.10795307159424,200.0
535,50079,0.59373844,5,0.0031573642,-0.0005286931991577148,0.0,0.0031573642,0.0005823139,200.0,27.611840963363647,200.0
540,51079,0.5796877,5,0.0047957795,-0.0008292198181152344,0.0,0.0047957795,0.0008959279,200.0,28.142273426055908,200.0
545,52079,0.58777595,5,0.004067948,-0.0008429288864135742,0.0,0.004067948,0.00091644283,200.0,28.690265893936157,200.0
550,53079,0.5823645,5,0.0036189542,-9.679794311523438e-05,0.0,0.0036189542,0.00063220435,200.0,29.20638608932495,200.0
555,54079,0.5936107,5,0.0032391152,-0.0003973245620727539,0.0,0.0032391152,0.0006322188,200.0,29.776243448257446,200.0
561,55173,0.5810395,6,0.0066868663,-0.00063323974609375,0.0,0.0066868663,0.0007215703,197.35,30.300771951675415,197.35
566,56173,0.5997708,5,0.003110867,0.002023756504058838,0.0,0.003110867,0.0006706639,197.35,30.786621809005737,197.35
571,57173,0.59604365,5,0.003013146,6.139278411865234e-05,0.0,0.003013146,0.0008626006,197.35,31.348044395446777,197.35
577,58311,0.59168863,6,0.0043745125,0.016026794910430908,0.0,0.0043745125,0.00078719424,195.8,31.903451204299927,195.8
