# {"t_start": 1539260316.813338, "env_id": "CartPole-v0"} 
r,l,t
20.0,20,0.862977
16.0,16,0.869704
18.0,18,0.876908
15.0,15,0.88292
22.0,22,0.891662
16.0,16,0.89804
11.0,11,0.902463
14.0,14,0.908054
14.0,14,0.913638
49.0,49,0.933057
12.0,12,0.937876
28.0,28,0.948971
10.0,10,0.952981
10.0,10,0.956991
15.0,15,0.96297
67.0,67,0.989599
12.0,12,0.99445
20.0,20,1.002409
13.0,13,1.007612
11.0,11,1.01202
10.0,10,1.016039
19.0,19,1.023586
36.0,36,1.037842
17.0,17,1.044607
88.0,88,1.079331
44.0,44,1.096757
34.0,34,1.110277
19.0,19,1.117855
32.0,32,1.130511
27.0,27,1.141235
11.0,11,1.145642
92.0,92,1.181949
24.0,24,1.191481
17.0,17,1.198475
12.0,12,1.203299
15.0,15,1.209291
25.0,25,1.219232
14.0,14,1.224838
13.0,13,1.230047
26.0,26,1.24046
35.0,35,1.254356
46.0,46,1.464337
11.0,11,1.470231
30.0,30,1.485494
70.0,70,1.520515
11.0,11,1.525715
15.0,15,1.53259
52.0,52,1.55613
17.0,17,1.562892
20.0,20,1.571036
22.0,22,1.579681
23.0,23,1.588595
24.0,24,1.597814
10.0,10,1.601851
17.0,17,1.608919
58.0,58,1.63022
13.0,13,1.635111
46.0,46,1.652522
13.0,13,1.657447
58.0,58,1.67936
29.0,29,1.691913
24.0,24,1.702525
15.0,15,1.709393
12.0,12,1.714619
40.0,40,1.730721
16.0,16,1.737076
48.0,48,1.756212
18.0,18,1.763577
63.0,63,1.788509
10.0,10,1.793698
27.0,27,1.804454
15.0,15,1.810415
17.0,17,1.817167
14.0,14,1.822721
40.0,40,1.838435
24.0,24,1.847901
24.0,24,1.857388
29.0,29,1.870083
17.0,17,1.878316
20.0,20,1.98136
38.0,38,1.999046
21.0,21,2.008776
29.0,29,2.022005
95.0,95,2.065928
33.0,33,2.081066
17.0,17,2.088593
16.0,16,2.095984
13.0,13,2.10201
15.0,15,2.109054
17.0,17,2.116419
31.0,31,2.12995
16.0,16,2.137326
16.0,16,2.144859
40.0,40,2.163213
31.0,31,2.176197
31.0,31,2.189268
72.0,72,2.22185
29.0,29,2.234407
31.0,31,2.247946
42.0,42,2.267153
15.0,15,2.274054
24.0,24,2.285635
21.0,21,2.295051
33.0,33,2.310342
51.0,51,2.333754
43.0,43,2.353784
13.0,13,2.359297
33.0,33,2.374045
30.0,30,2.386218
16.0,16,2.392465
17.0,17,2.399409
22.0,22,2.408008
37.0,37,2.422071
13.0,13,2.427169
32.0,32,2.523591
28.0,28,2.534842
18.0,18,2.542374
45.0,45,2.559693
18.0,18,2.566791
19.0,19,2.574008
20.0,20,2.582453
17.0,17,2.589118
15.0,15,2.594894
14.0,14,2.600158
37.0,37,2.614417
9.0,9,2.617929
47.0,47,2.635978
43.0,43,2.652262
17.0,17,2.659697
11.0,11,2.664608
46.0,46,2.685076
15.0,15,2.691611
16.0,16,2.698265
20.0,20,2.706737
37.0,37,2.724156
15.0,15,2.731494
18.0,18,2.73924
33.0,33,2.75353
56.0,56,2.781137
37.0,37,2.798107
23.0,23,2.809275
22.0,22,2.82061
23.0,23,2.832003
15.0,15,2.839259
13.0,13,2.845965
21.0,21,2.856152
30.0,30,2.871046
21.0,21,2.881152
24.0,24,2.891646
14.0,14,2.897626
10.0,10,2.902081
25.0,25,2.913444
12.0,12,2.918966
19.0,19,2.927794
15.0,15,2.934593
15.0,15,2.941583
10.0,10,2.946162
33.0,33,2.961226
32.0,32,3.07016
12.0,12,3.076102
27.0,27,3.090052
13.0,13,3.096421
36.0,36,3.11336
12.0,12,3.119701
31.0,31,3.135331
54.0,54,3.161539
28.0,28,3.172738
14.0,14,3.178625
62.0,62,3.201528
31.0,31,3.213166
73.0,73,3.240988
31.0,31,3.253248
18.0,18,3.260389
38.0,38,3.275405
55.0,55,3.298476
12.0,12,3.304013
50.0,50,3.326
18.0,18,3.333159
41.0,41,3.349234
15.0,15,3.355396
55.0,55,3.37708
52.0,52,3.39682
15.0,15,3.402823
29.0,29,3.413718
38.0,38,3.428532
62.0,62,3.454568
29.0,29,3.468008
24.0,24,3.479872
20.0,20,3.489351
22.0,22,3.599546
85.0,85,3.636774
32.0,32,3.651228
14.0,14,3.657867
32.0,32,3.673963
15.0,15,3.681628
27.0,27,3.694956
53.0,53,3.721464
28.0,28,3.73568
25.0,25,3.748436
12.0,12,3.754421
12.0,12,3.760323
65.0,65,3.793511
60.0,60,3.822264
18.0,18,3.831539
56.0,56,3.860086
34.0,34,3.877438
30.0,30,3.890848
15.0,15,3.897475
17.0,17,3.904595
10.0,10,3.908918
60.0,60,3.935171
27.0,27,3.946457
33.0,33,3.960369
16.0,16,3.967062
27.0,27,3.977505
22.0,22,3.986268
29.0,29,3.997423
29.0,29,4.008551
31.0,31,4.020436
57.0,57,4.042135
108.0,108,4.16803
60.0,60,4.191671
26.0,26,4.201963
14.0,14,4.207829
12.0,12,4.213041
36.0,36,4.22782
79.0,79,4.258935
10.0,10,4.263476
23.0,23,4.274376
15.0,15,4.280985
120.0,120,4.33555
19.0,19,4.345019
138.0,138,4.410339
54.0,54,4.434623
45.0,45,4.4548
71.0,71,4.490026
17.0,17,4.497253
48.0,48,4.517952
39.0,39,4.534832
120.0,120,4.588056
23.0,23,4.701845
25.0,25,4.714235
112.0,112,4.768617
27.0,27,4.779641
122.0,122,4.837866
21.0,21,4.846509
49.0,49,4.867747
59.0,59,4.892808
49.0,49,4.91339
11.0,11,4.918262
17.0,17,4.925283
65.0,65,4.952809
13.0,13,4.958232
17.0,17,4.965369
31.0,31,4.978478
32.0,32,4.992175
29.0,29,5.004445
42.0,42,5.021887
10.0,10,5.026411
154.0,154,5.09235
40.0,40,5.111182
54.0,54,5.138605
34.0,34,5.259495
52.0,52,5.287763
24.0,24,5.300163
24.0,24,5.312046
13.0,13,5.318307
44.0,44,5.340567
28.0,28,5.354754
65.0,65,5.388271
116.0,116,5.446759
75.0,75,5.484782
85.0,85,5.528347
16.0,16,5.536582
21.0,21,5.547166
46.0,46,5.570025
22.0,22,5.579691
28.0,28,5.591266
50.0,50,5.612262
31.0,31,5.625198
17.0,17,5.63267
46.0,46,5.650338
68.0,68,5.676327
92.0,92,5.711138
26.0,26,5.722133
44.0,44,5.839778
27.0,27,5.851666
35.0,35,5.866447
55.0,55,5.887696
25.0,25,5.899762
35.0,35,5.91848
29.0,29,5.93357
99.0,99,5.984902
112.0,112,6.043432
20.0,20,6.053569
26.0,26,6.066761
18.0,18,6.075865
23.0,23,6.087563
23.0,23,6.099519
49.0,49,6.124191
20.0,20,6.134568
200.0,200,6.23709
88.0,88,6.281615
91.0,91,6.325077
21.0,21,6.334816
23.0,23,6.434269
74.0,74,6.464448
32.0,32,6.476515
76.0,76,6.504928
94.0,94,6.54448
73.0,73,6.57314
50.0,50,6.593009
101.0,101,6.631673
51.0,51,6.651159
71.0,71,6.677991
114.0,114,6.728349
76.0,76,6.762264
146.0,146,6.822157
18.0,18,6.831146
60.0,60,6.94296
18.0,18,6.951252
81.0,81,6.986506
79.0,79,7.0193
60.0,60,7.043078
98.0,98,7.092633
54.0,54,7.120053
103.0,103,7.171984
25.0,25,7.183762
29.0,29,7.195793
80.0,80,7.225809
191.0,191,7.300082
81.0,81,7.33286
75.0,75,7.362945
64.0,64,7.475132
167.0,167,7.558919
66.0,66,7.592712
25.0,25,7.60563
27.0,27,7.619545
132.0,132,7.687136
40.0,40,7.707584
81.0,81,7.748957
126.0,126,7.814092
16.0,16,7.822308
99.0,99,7.868398
96.0,96,7.918171
133.0,133,8.065815
26.0,26,8.080255
41.0,41,8.102472
133.0,133,8.155152
20.0,20,8.163091
114.0,114,8.207374
119.0,119,8.256568
46.0,46,8.274824
154.0,154,8.340282
123.0,123,8.396456
79.0,79,8.437273
58.0,58,8.467166
114.0,114,8.616642
36.0,36,8.635522
91.0,91,8.681169
122.0,122,8.742724
73.0,73,8.77821
12.0,12,8.783496
62.0,62,8.808981
147.0,147,8.864535
