TimestepsSoFar,entloss,EpThisIter,EpRewMean,optimgain,EpisodesSoFar,surrgain,ev_tdlam_before,entropy,TimeElapsed,meankl,EpLenMean
1018,0.0,45,22.9,0.0053045694,45,0.0053045694,-0.0015534162521362305,0.6923552,0.6445493698120117,0.0008345529,22.9
2043,0.0,40,25.625,0.007091364,85,0.007091364,-0.00933837890625,0.6898205,1.135577917098999,0.0009841915,25.625
3055,0.0,43,23.425,0.006330094,128,0.006330094,0.0010340213775634766,0.6851834,1.650028944015503,0.0009855438,23.425
4052,0.0,40,24.925,0.0076258443,168,0.0076258443,0.0032202601432800293,0.67967486,2.156008005142212,0.0010064768,24.925
5119,0.0,29,35.075,0.006813258,197,0.006813258,-0.0069010257720947266,0.6748289,2.6431612968444824,0.0010096219,35.075
6068,0.0,31,34.025,0.007870141,228,0.007870141,0.0023636221885681152,0.665413,3.2038767337799072,0.00095613743,34.025
7156,0.0,28,34.825,0.0080849305,256,0.0080849305,0.018508076667785645,0.6579199,3.7525722980499268,0.00096175884,34.825
8188,0.0,22,45.35,0.0068762796,278,0.0068762796,0.005616188049316406,0.6499609,4.254615068435669,0.00091837853,45.35
9208,0.0,18,51.3,0.0073489007,296,0.0073489007,0.02167302370071411,0.64429307,4.744987964630127,0.0008554049,51.3
10213,0.0,13,64.075,0.006017942,309,0.006017942,0.014715075492858887,0.64286566,5.261967658996582,0.0008914473,64.075
11181,0.0,13,69.55,0.008088087,322,0.008088087,0.02033752202987671,0.6308907,5.797621488571167,0.0007895295,69.55
12224,0.0,10,82.675,0.005078609,332,0.005078609,0.032037436962127686,0.62312865,6.32881236076355,0.0006919465,82.675
13288,0.0,8,93.05,0.005744702,340,0.005744702,0.015882790088653564,0.6262217,6.8230955600738525,0.0006157924,93.05
14270,0.0,8,104.925,0.004433737,348,0.004433737,0.0013440251350402832,0.61215127,7.3322389125823975,0.0008509106,104.925
15269,0.0,8,114.05,0.006151572,356,0.006151572,0.008584558963775635,0.6184666,7.831680536270142,0.00069598533,114.05
16307,0.0,6,128.15,0.0053733974,362,0.0053733974,0.008204817771911621,0.6099017,8.294999122619629,0.0007337784,128.15
17367,0.0,6,141.575,0.0065433667,368,0.0065433667,0.013448953628540039,0.6023839,8.81754732131958,0.00084140705,141.575
18314,0.0,5,148.775,0.0058719264,373,0.0058719264,0.005791783332824707,0.59119236,9.336280584335327,0.0007528627,148.775
19290,0.0,6,153.35,0.004701755,379,0.004701755,0.0026755928993225098,0.6088343,9.844309568405151,0.00076298247,153.35
20413,0.0,6,160.8,0.0037963027,385,0.0037963027,0.005672276020050049,0.6105796,10.398382902145386,0.0005889245,160.8
21393,0.0,5,173.05,0.0053856783,390,0.0053856783,0.0006521940231323242,0.60640967,10.898621082305908,0.0007665211,173.05
22527,0.0,7,176.45,0.0059826765,397,0.0059826765,0.0003071427345275879,0.6021336,11.425854444503784,0.00056196563,176.45
23489,0.0,5,179.55,0.0039804685,402,0.0039804685,0.008813798427581787,0.5900073,11.97895884513855,0.00083093613,179.55
24564,0.0,6,179.925,0.005087965,408,0.005087965,0.0037003159523010254,0.58151203,12.504162073135376,0.00075554487,179.925
25554,0.0,5,181.0,0.0027370101,413,0.0027370101,0.012111544609069824,0.60579276,13.06779670715332,0.0006456785,181.0
26499,0.0,5,184.375,0.0068350006,418,0.0068350006,0.015758156776428223,0.59613645,13.639636039733887,0.00095540436,184.375
27639,0.0,6,185.425,0.0057023987,424,0.0057023987,0.008099496364593506,0.58532846,14.178261995315552,0.0009056191,185.425
28535,0.0,5,183.55,0.0045597204,429,0.0045597204,0.023801088333129883,0.57643706,14.699012279510498,0.00050931395,183.55
29545,0.0,6,183.75,0.0072700726,435,0.0072700726,-0.0021654367446899414,0.5886097,15.250234365463257,0.00077587104,183.75
30545,0.0,5,185.45,0.004096413,440,0.004096413,0.005261063575744629,0.58856565,15.740959882736206,0.0007827597,185.45
31545,0.0,5,187.125,0.0028222091,445,0.0028222091,-0.001754164695739746,0.59474504,16.259780645370483,0.000677723,187.125
32745,0.0,6,189.775,0.0031826855,451,0.0031826855,0.0003281235694885254,0.5931144,16.813800811767578,0.00061140815,189.775
33745,0.0,5,190.1,0.0045624534,456,0.0045624534,-0.0018694400787353516,0.59485304,17.318880081176758,0.00072787877,190.1
34736,0.0,5,190.925,0.004458255,461,0.004458255,-0.001675248146057129,0.58444846,17.854110956192017,0.00053661683,190.925
35772,0.0,6,190.025,0.0053503397,467,0.0053503397,-0.001440882682800293,0.5669744,18.408881187438965,0.0005646116,190.025
36691,0.0,5,193.55,0.004843818,472,0.004843818,-0.0017296075820922852,0.5898562,18.902297735214233,0.00086421345,193.55
37691,0.0,5,193.65,0.0029259208,477,0.0029259208,-0.002017378807067871,0.58833635,19.394620656967163,0.00037647557,193.65
38770,0.0,6,190.625,0.0039844923,483,0.0039844923,-0.0013995170593261719,0.57407576,19.926300287246704,0.00066564383,190.625
