# {"t_start": 1539261360.1928504, "env_id": "CartPole-v0"} 
r,l,t
40.0,40,0.950889
29.0,29,0.962468
24.0,24,0.971417
30.0,30,0.982358
17.0,17,0.988564
29.0,29,0.999557
12.0,12,1.004905
15.0,15,1.011
14.0,14,1.016681
11.0,11,1.02116
12.0,12,1.02626
15.0,15,1.032517
21.0,21,1.04096
15.0,15,1.047433
20.0,20,1.055785
40.0,40,1.073097
15.0,15,1.07954
30.0,30,1.09245
24.0,24,1.102942
24.0,24,1.116108
17.0,17,1.125349
28.0,28,1.136322
18.0,18,1.143512
10.0,10,1.147495
22.0,22,1.15645
45.0,45,1.17526
14.0,14,1.181738
19.0,19,1.189743
56.0,56,1.214428
33.0,33,1.229835
15.0,15,1.237259
13.0,13,1.243565
11.0,11,1.249028
14.0,14,1.255939
18.0,18,1.264252
15.0,15,1.270734
22.0,22,1.27982
16.0,16,1.286518
19.0,19,1.29465
47.0,47,1.315351
11.0,11,1.320184
12.0,12,1.325252
42.0,42,1.344224
15.0,15,1.350795
35.0,35,1.366444
21.0,21,1.850258
37.0,37,1.872326
43.0,43,1.891369
70.0,70,1.918602
22.0,22,1.92667
15.0,15,1.932264
20.0,20,1.940073
50.0,50,1.958799
22.0,22,1.968281
21.0,21,1.976902
17.0,17,1.983499
33.0,33,1.996567
14.0,14,2.002431
27.0,27,2.013782
21.0,21,2.023295
33.0,33,2.04012
27.0,27,2.05366
16.0,16,2.061787
18.0,18,2.070216
37.0,37,2.088502
19.0,19,2.097985
37.0,37,2.116224
24.0,24,2.128437
15.0,15,2.135473
14.0,14,2.142349
42.0,42,2.163695
14.0,14,2.170813
57.0,57,2.199944
26.0,26,2.213145
33.0,33,2.229927
25.0,25,2.240498
27.0,27,2.251452
65.0,65,2.280394
22.0,22,2.290087
29.0,29,2.303648
20.0,20,2.311679
31.0,31,2.695565
17.0,17,2.702368
14.0,14,2.707951
35.0,35,2.721729
16.0,16,2.728075
8.0,8,2.731297
13.0,13,2.736463
34.0,34,2.750461
17.0,17,2.757867
32.0,32,2.770765
23.0,23,2.779959
62.0,62,2.80442
29.0,29,2.815846
41.0,41,2.831984
33.0,33,2.845107
34.0,34,2.858732
17.0,17,2.865678
18.0,18,2.873078
37.0,37,2.888196
11.0,11,2.892717
17.0,17,2.899677
22.0,22,2.908722
25.0,25,2.919312
11.0,11,2.923927
21.0,21,2.932591
50.0,50,2.953249
39.0,39,2.969386
10.0,10,2.973492
24.0,24,2.983403
17.0,17,2.990604
12.0,12,2.995829
11.0,11,3.0005
17.0,17,3.007905
25.0,25,3.018425
86.0,86,3.053995
33.0,33,3.070091
23.0,23,3.081702
18.0,18,3.09091
12.0,12,3.096714
30.0,30,3.111072
30.0,30,3.498717
42.0,42,3.516472
21.0,21,3.525095
28.0,28,3.536678
28.0,28,3.54852
15.0,15,3.55481
15.0,15,3.560815
19.0,19,3.568674
23.0,23,3.577796
20.0,20,3.585732
11.0,11,3.590552
16.0,16,3.597823
43.0,43,3.617153
50.0,50,3.63716
75.0,75,3.667054
11.0,11,3.671931
46.0,46,3.690756
11.0,11,3.69518
18.0,18,3.7023
11.0,11,3.706791
35.0,35,3.720085
26.0,26,3.730418
9.0,9,3.733928
45.0,45,3.750854
15.0,15,3.757041
43.0,43,3.775008
35.0,35,3.791071
28.0,28,3.804921
16.0,16,3.81229
12.0,12,3.817731
46.0,46,3.837295
20.0,20,3.847219
48.0,48,3.868829
32.0,32,3.883923
42.0,42,3.90554
29.0,29,3.919908
11.0,11,3.925495
36.0,36,4.290863
34.0,34,4.305539
10.0,10,4.309733
18.0,18,4.317499
24.0,24,4.327513
17.0,17,4.33447
46.0,46,4.353158
14.0,14,4.359157
13.0,13,4.364675
19.0,19,4.373222
8.0,8,4.376867
25.0,25,4.388039
59.0,59,4.415055
16.0,16,4.422466
13.0,13,4.428352
60.0,60,4.455906
96.0,96,4.498771
43.0,43,4.518285
16.0,16,4.525323
63.0,63,4.55414
74.0,74,4.588231
19.0,19,4.596795
21.0,21,4.606964
33.0,33,4.623042
32.0,32,4.63827
26.0,26,4.649845
23.0,23,4.659874
16.0,16,4.666745
21.0,21,4.676109
28.0,28,4.688822
12.0,12,4.694228
15.0,15,4.701928
12.0,12,4.708342
51.0,51,4.734011
15.0,15,4.741615
40.0,40,5.126488
15.0,15,5.132389
30.0,30,5.143772
23.0,23,5.15286
85.0,85,5.18748
68.0,68,5.21491
35.0,35,5.229903
100.0,100,5.271343
17.0,17,5.27816
27.0,27,5.288848
42.0,42,5.305893
47.0,47,5.32545
20.0,20,5.33393
47.0,47,5.35259
11.0,11,5.357075
11.0,11,5.361719
41.0,41,5.37957
20.0,20,5.38798
58.0,58,5.411552
