# {"t_start": 1539260753.499362, "env_id": "CartPole-v0"} 
r,l,t
24.0,24,0.913095
19.0,19,0.920589
30.0,30,0.932437
17.0,17,0.939149
39.0,39,0.953918
11.0,11,0.958192
21.0,21,0.966615
21.0,21,0.975163
16.0,16,0.981912
14.0,14,0.987884
14.0,14,0.993824
21.0,21,1.002874
12.0,12,1.008156
26.0,26,1.018797
10.0,10,1.023227
28.0,28,1.034854
30.0,30,1.048097
11.0,11,1.052724
29.0,29,1.064574
57.0,57,1.087747
20.0,20,1.096061
39.0,39,1.111497
23.0,23,1.120689
14.0,14,1.126271
17.0,17,1.133641
15.0,15,1.139882
14.0,14,1.145878
11.0,11,1.150394
27.0,27,1.162416
11.0,11,1.167343
25.0,25,1.178101
25.0,25,1.18944
22.0,22,1.199616
47.0,47,1.223529
22.0,22,1.234637
41.0,41,1.25517
12.0,12,1.261439
14.0,14,1.26804
13.0,13,1.274552
21.0,21,1.284249
20.0,20,1.293481
22.0,22,1.303067
19.0,19,1.311488
14.0,14,1.31793
10.0,10,1.322737
21.0,21,1.332639
22.0,22,1.341529
28.0,28,1.548214
28.0,28,1.560557
24.0,24,1.571163
43.0,43,1.593965
21.0,21,1.604617
33.0,33,1.620788
13.0,13,1.627084
10.0,10,1.63193
29.0,29,1.646231
43.0,43,1.668099
15.0,15,1.673666
43.0,43,1.689356
24.0,24,1.698199
16.0,16,1.704099
21.0,21,1.712009
12.0,12,1.716491
17.0,17,1.723154
10.0,10,1.726876
47.0,47,1.744275
16.0,16,1.750274
20.0,20,1.757735
35.0,35,1.770727
31.0,31,1.782552
20.0,20,1.789995
56.0,56,1.810761
65.0,65,1.83478
24.0,24,1.84378
46.0,46,1.86063
30.0,30,1.871714
27.0,27,1.881847
27.0,27,1.892003
26.0,26,1.901632
16.0,16,1.907566
15.0,15,1.91316
16.0,16,1.919141
40.0,40,1.934116
13.0,13,1.939659
25.0,25,1.951283
29.0,29,2.052274
20.0,20,2.061595
39.0,39,2.081479
14.0,14,2.088379
30.0,30,2.103485
17.0,17,2.112092
44.0,44,2.133683
20.0,20,2.143574
14.0,14,2.150302
20.0,20,2.16044
35.0,35,2.177884
32.0,32,2.194164
19.0,19,2.203542
34.0,34,2.220829
14.0,14,2.226913
30.0,30,2.239511
55.0,55,2.264207
20.0,20,2.273449
75.0,75,2.307602
15.0,15,2.314107
25.0,25,2.325692
33.0,33,2.339259
28.0,28,2.35178
36.0,36,2.367247
27.0,27,2.379287
15.0,15,2.385346
59.0,59,2.411513
26.0,26,2.422597
11.0,11,2.427247
42.0,42,2.447777
13.0,13,2.454437
11.0,11,2.458972
14.0,14,2.464657
16.0,16,2.47103
10.0,10,2.474994
24.0,24,2.484401
18.0,18,2.491773
85.0,85,2.617422
21.0,21,2.625961
29.0,29,2.638059
80.0,80,2.670469
36.0,36,2.68514
50.0,50,2.706674
26.0,26,2.718149
15.0,15,2.724566
21.0,21,2.732717
16.0,16,2.738992
15.0,15,2.745123
54.0,54,2.766142
28.0,28,2.778103
27.0,27,2.788944
22.0,22,2.798502
57.0,57,2.823873
27.0,27,2.8355
25.0,25,2.846704
12.0,12,2.852144
13.0,13,2.857903
17.0,17,2.865466
25.0,25,2.876941
37.0,37,2.892819
32.0,32,2.906489
56.0,56,2.932112
42.0,42,2.951029
45.0,45,2.971717
23.0,23,2.981944
23.0,23,2.99256
13.0,13,2.997961
13.0,13,3.004262
24.0,24,3.016154
52.0,52,3.041932
73.0,73,3.162398
88.0,88,3.195391
48.0,48,3.218685
22.0,22,3.227725
79.0,79,3.261748
17.0,17,3.269026
26.0,26,3.279412
31.0,31,3.291015
54.0,54,3.310699
34.0,34,3.323272
19.0,19,3.330281
16.0,16,3.336359
19.0,19,3.344256
64.0,64,3.370413
23.0,23,3.38313
52.0,52,3.412451
21.0,21,3.422884
17.0,17,3.430275
53.0,53,3.451765
35.0,35,3.465846
23.0,23,3.478676
37.0,37,3.499445
12.0,12,3.505923
42.0,42,3.522136
27.0,27,3.532685
23.0,23,3.541179
21.0,21,3.549241
26.0,26,3.560127
19.0,19,3.567533
53.0,53,3.694807
25.0,25,3.706659
24.0,24,3.717848
15.0,15,3.724655
44.0,44,3.744465
21.0,21,3.753339
22.0,22,3.762934
54.0,54,3.787262
136.0,136,3.85338
40.0,40,3.87362
21.0,21,3.884554
35.0,35,3.90219
36.0,36,3.920459
