EpThisIter,TimestepsSoFar,ev_tdlam_before,entropy,surrgain,EpLenMean,EpRewMean,meankl,EpisodesSoFar,optimgain,entloss,TimeElapsed
47,1011,-0.0008089542388916016,0.69212633,0.0073458985,21.25,21.25,0.0009476278,47,0.0073458985,0.0,0.6544420719146729
38,2036,6.258487701416016e-05,0.68924654,0.0063395537,26.7,26.7,0.00097642245,85,0.0063395537,0.0,1.1575350761413574
37,3020,0.010578334331512451,0.68493354,0.008089702,26.55,26.55,0.0010254844,122,0.008089702,0.0,1.7136046886444092
33,4081,0.0025172829627990723,0.6789962,0.0069875163,29.175,29.175,0.0009319162,155,0.0069875163,0.0,2.2516591548919678
29,5102,0.0319446325302124,0.6726506,0.006598953,34.525,34.525,0.0008984633,184,0.006598953,0.0,2.787978172302246
25,6137,0.020111382007598877,0.66430396,0.0076127946,36.65,36.65,0.00092984457,209,0.0076127946,0.0,3.350991725921631
23,7133,0.06334865093231201,0.65558654,0.009328653,44.325,44.325,0.00092019024,232,0.009328653,0.0,3.930379867553711
19,8110,0.13533449172973633,0.64450836,0.0076726275,45.9,45.9,0.0010007063,251,0.0076726275,0.0,4.457011938095093
16,9186,0.059523940086364746,0.63983816,0.0060040923,56.0,56.0,0.000851492,267,0.0060040923,0.0,5.020435094833374
13,10072,0.049334824085235596,0.63531554,0.007068477,60.825,60.825,0.00081989926,280,0.007068477,0.0,5.597691297531128
11,11160,0.06959575414657593,0.62609386,0.007669761,76.25,76.25,0.0009985403,291,0.007669761,0.0,6.131478548049927
9,12281,0.005612015724182129,0.6225998,0.005401691,92.95,92.95,0.0008432217,300,0.005401691,0.0,6.690872669219971
9,13286,0.08657878637313843,0.6051654,0.007517077,98.575,98.575,0.0008936404,309,0.007517077,0.0,7.215734243392944
8,14241,0.24738115072250366,0.6012902,0.006539113,108.475,108.475,0.00080220425,317,0.006539113,0.0,7.7231605052948
8,15324,0.17528128623962402,0.5960204,0.007045732,115.625,115.625,0.0008679668,325,0.007045732,0.0,8.298478364944458
6,16267,0.2290160059928894,0.5986065,0.005714818,127.675,127.675,0.0007021672,331,0.005714818,0.0,8.793132781982422
6,17358,0.5139738619327545,0.5951383,0.005178639,135.175,135.175,0.00084984116,337,0.005178639,0.0,9.310429573059082
5,18306,0.4430859684944153,0.59256804,0.0040929266,140.625,140.625,0.00080689887,342,0.0040929266,0.0,9.859072923660278
6,19448,0.5335762798786163,0.61184037,0.003489476,154.4,154.4,0.00091356074,348,0.003489476,0.0,10.428067445755005
6,20322,0.5029337108135223,0.57967395,0.0063385097,160.65,160.65,0.0007735131,354,0.0063385097,0.0,10.93446946144104
6,21480,0.2886481285095215,0.5976639,0.0040531275,173.4,173.4,0.0007461636,360,0.0040531275,0.0,11.486650705337524
5,22458,0.41755181550979614,0.59535533,0.004876641,178.35,178.35,0.00086030626,365,0.004876641,0.0,12.080851793289185
5,23360,0.48214787244796753,0.58689576,0.0030276515,180.7,180.7,0.00047571392,370,0.0030276515,0.0,12.632071733474731
7,24387,0.2998030185699463,0.5691818,0.005570082,175.725,175.725,0.0006691854,377,0.005570082,0.0,13.181865453720093
6,25511,0.5993014276027679,0.586818,0.004184669,175.125,175.125,0.0008784809,383,0.004184669,0.0,13.773205518722534
5,26511,0.33702707290649414,0.60032344,0.004353907,176.575,176.575,0.0010138267,388,0.004353907,0.0,14.356587409973145
5,27492,0.4366111755371094,0.59920335,0.0039699334,183.45,183.45,0.00088261993,393,0.0039699334,0.0,14.85874342918396
5,28492,0.4818667769432068,0.5925845,0.004006381,185.3,185.3,0.0008053639,398,0.004006381,0.0,15.417655229568481
6,29692,0.5901199281215668,0.59374595,0.0031436826,185.3,185.3,0.000803971,404,0.0031436826,0.0,16.012571811676025
5,30692,0.7704406976699829,0.58877635,0.0028771386,187.85,187.85,0.00088364945,409,0.0028771386,0.0,16.520207166671753
5,31692,0.6142896413803101,0.5788585,0.002482631,193.7,193.7,0.00069754326,414,0.002482631,0.0,17.048970460891724
5,32661,0.056340038776397705,0.5797379,0.00271288,196.85,196.85,0.0008579147,419,0.00271288,0.0,17.617329359054565
5,33661,0.4897119402885437,0.5676396,0.0027986988,198.75,198.75,0.00075604615,424,0.0027986988,0.0,18.1595299243927
5,34661,0.5995459854602814,0.564722,0.0039882814,198.75,198.75,0.00084304926,429,0.0039882814,0.0,18.710184335708618
5,35658,0.5110668540000916,0.5702976,0.0028772277,199.15,199.15,0.0005023882,434,0.0028772277,0.0,19.290435552597046
