entropy,TimeElapsed,surrgain,EpLenMean,EpisodesSoFar,EpThisIter,TimestepsSoFar,optimgain,EpRewMean,meankl,entloss,ev_tdlam_before
0.69222116,0.684973955154419,0.0054697916,22.9,44,44,1002,0.0054697916,22.9,0.0008650698,0.0,-0.0005012750625610352
0.68944997,1.2201147079467773,0.0076326756,23.8,86,42,2029,0.0076326756,23.8,0.0010123379,0.0,0.14461541175842285
0.6844097,1.7769956588745117,0.008364592,22.325,129,43,3057,0.008364592,22.325,0.0010238572,0.0,0.2650943398475647
0.67980325,2.33450984954834,0.00880794,28.7,164,35,4075,0.00880794,28.7,0.00091156206,0.0,0.3414863348007202
0.67120314,2.8790812492370605,0.008913129,29.05,198,34,5099,0.008913129,29.05,0.0009968975,0.0,0.2904718518257141
0.66636133,3.4038736820220947,0.010566071,35.675,226,28,6124,0.010566071,35.675,0.0009430669,0.0,0.3406531810760498
0.65490276,4.011151313781738,0.009562483,38.85,252,26,7160,0.009562483,38.85,0.0010261259,0.0,0.38123250007629395
0.6463766,4.588089227676392,0.0073873247,46.2,273,21,8186,0.0073873247,46.2,0.000942652,0.0,0.20654785633087158
0.6451658,5.111130475997925,0.00806577,59.5,286,13,9174,0.00806577,59.5,0.00092678086,0.0,0.2452898621559143
0.6336479,5.68954610824585,0.0074850637,70.7,298,12,10216,0.0074850637,70.7,0.0008856291,0.0,0.07341057062149048
0.6223042,6.244675397872925,0.0063127717,84.45,308,10,11182,0.0063127717,84.45,0.0008672117,0.0,0.18490475416183472
0.62112355,6.757540225982666,0.008450159,94.975,315,7,12205,0.008450159,94.975,0.00085509056,0.0,0.4243013858795166
0.6086645,7.314646482467651,0.0056307693,102.85,326,11,13288,0.0056307693,102.85,0.000894713,0.0,-0.09467923641204834
0.6076419,7.829773664474487,0.0044040093,110.15,332,6,14183,0.0044040093,110.15,0.0007979497,0.0,0.3586882948875427
0.60026807,8.333960771560669,0.0052474616,118.875,341,9,15358,0.0052474616,118.875,0.0006453362,0.0,-0.058951735496520996
0.6003448,8.891371726989746,0.0066877175,129.675,347,6,16279,0.0066877175,129.675,0.0006683085,0.0,0.23765844106674194
0.59641814,9.448319435119629,0.00606203,127.575,354,7,17298,0.00606203,127.575,0.00081018393,0.0,0.45421892404556274
0.6025481,10.00861144065857,0.0058509167,139.425,360,6,18289,0.0058509167,139.425,0.00059843867,0.0,0.742017924785614
0.6014376,10.572316884994507,0.0034341074,151.725,366,6,19357,0.0034341074,151.725,0.0007634328,0.0,0.49527353048324585
0.59799504,11.176105976104736,0.0047123893,154.825,372,6,20376,0.0047123893,154.825,0.00070518005,0.0,0.6463919878005981
0.617076,11.69576358795166,0.002398125,159.55,378,6,21448,0.002398125,159.55,0.00089283654,0.0,0.728073388338089
0.5970192,12.23536992073059,0.006079874,164.025,384,6,22457,0.006079874,164.025,0.0007545237,0.0,0.2574629783630371
0.6074927,12.831934928894043,0.0063515976,170.575,389,5,23413,0.0063515976,170.575,0.00088472996,0.0,0.789606586098671
0.6120749,13.352380990982056,0.0035031147,177.875,394,5,24413,0.0035031147,177.875,0.00085236493,0.0,0.3510581851005554
0.5825303,13.89294171333313,0.005968705,178.15,400,6,25415,0.005968705,178.15,0.0008521387,0.0,0.34788745641708374
0.58605707,14.467571496963501,0.00359947,179.05,406,6,26519,0.00359947,179.05,0.00094673736,0.0,0.3296952247619629
0.5911858,15.010499715805054,0.00299728,181.3,411,5,27518,0.00299728,181.3,0.00065476133,0.0,0.6515236794948578
0.5935907,15.533961057662964,0.0067626107,182.3,417,6,28540,0.0067626107,182.3,0.00088369125,0.0,0.6080061793327332
0.591472,16.110074520111084,0.0030644047,185.1,423,6,29661,0.0030644047,185.1,0.00080130564,0.0,0.36155426502227783
0.5811069,16.63894033432007,0.0034350401,186.2,428,5,30661,0.0034350401,186.2,0.0006564277,0.0,0.4275299906730652
0.5780529,17.166980981826782,0.002869553,185.8,433,5,31645,0.002869553,185.8,0.0007613291,0.0,0.7263668775558472
0.5776265,17.740126848220825,0.004098592,188.375,438,5,32640,0.004098592,188.375,0.0009360642,0.0,0.2658657431602478
0.575792,18.23942995071411,0.003851405,190.625,443,5,33640,0.003851405,190.625,0.0008429042,0.0,0.561535656452179
